partition,node_precision,node_recall,node_f1,edge_precision,edge_recall,edge_f1,macro_f1
fit,1.0,0.7550505050505051,0.8604316546762589,1.0,0.3611111111111111,0.5306122448979591,0.695521949787109
selection,1.0,0.7043795620437956,0.8265524625267666,1.0,0.3076923076923077,0.47058823529411764,0.6485703489104422
