seed,task,rows,geometry_family,topology_family,actual_attachment_f1,oracle_attachment_f1,actual_safe_recall,oracle_safe_recall,actual_attachment_pairs,oracle_attachment_pairs,pair_expansion
0,S10_3d_complex_C07__ellipse.zarr,4122,ellipse.zarr,S10_3d_complex,0.06715438619513155,0.20864125983648563,0.0,0.0,8165132,531700,15.356652247507993
0,S10_3d_complex_C07__rounded_rectangle.zarr,4122,rounded_rectangle.zarr,S10_3d_complex,0.010750195731408703,0.21887102391757507,0.0,0.0,8166440,500676,16.31082776086731
1,S01_flat_tree_small_C07__c1_mixed.zarr,1004,c1_mixed.zarr,S01_flat_tree_small,0.01949499283195379,0.21290054757151047,0.0,0.0,1986436,149728,13.26696409489207
1,S01_flat_tree_small_C07__ellipse.zarr,1004,ellipse.zarr,S01_flat_tree_small,0.24464872844393745,0.41334046380475475,0.0,0.0,1987392,157244,12.638905141054666
1,S01_flat_tree_small_C07__rounded_rectangle.zarr,1004,rounded_rectangle.zarr,S01_flat_tree_small,0.01996183930105667,0.19909285345526956,0.0,0.0,1984720,147048,13.497089385778793
1,S02_3d_tree_small_C07__c1_mixed.zarr,922,c1_mixed.zarr,S02_3d_tree_small,0.01986060316820262,0.20911009944301737,0.0,0.0,1824340,156724,11.640463489956867
1,S02_3d_tree_small_C07__ellipse.zarr,922,ellipse.zarr,S02_3d_tree_small,0.26469233300427775,0.4292262660849395,0.0,0.0,1823844,163800,11.134578754578754
1,S02_3d_tree_small_C07__rounded_rectangle.zarr,922,rounded_rectangle.zarr,S02_3d_tree_small,0.020496299631548573,0.18967430554332318,0.0,0.0,1821420,152412,11.950633808361546
1,S03_flat_unicyclic_small_C07__c1_mixed.zarr,906,c1_mixed.zarr,S03_flat_unicyclic_small,0.02401720759243652,0.17869540063638994,0.0,0.0,1790536,212956,8.40800916621274
1,S03_flat_unicyclic_small_C07__ellipse.zarr,906,ellipse.zarr,S03_flat_unicyclic_small,0.20710366734045627,0.31057358184033573,0.0,0.0,1789656,227824,7.85543226350165
1,S03_flat_unicyclic_small_C07__rounded_rectangle.zarr,906,rounded_rectangle.zarr,S03_flat_unicyclic_small,0.02259735891341394,0.16615975195629706,0.0,0.0,1789276,200560,8.921400079776625
