method,partition,threshold,predicted_triggers,structural_trigger_precision,structural_episode_recall,false_trigger_fraction,junction_identity_coverage,terminal_identity_coverage,turn_identity_coverage,geometry_transition_identity_coverage
geometry,fit,6.751710039687805,169,0.3905325443786982,0.016683518705763397,0.004130243002646563,0.13189448441247004,0.008,0.006734006734006734,0.03389830508474576
geometry,selection,6.751710039687805,56,0.44642857142857145,0.018518518518518517,0.004015544041450777,0.136986301369863,0.0,0.021052631578947368,0.058823529411764705
action,fit,7.728528034499089,239,0.4560669456066946,0.0275530839231547,0.00521292806159275,0.02877697841726619,0.248,0.0,0.05084745762711865
action,selection,7.728528034499089,101,0.48514851485148514,0.0362962962962963,0.006735751295336788,0.0547945205479452,0.3046875,0.010526315789473684,0.058823529411764705
combined,fit,6.292068552763764,197,0.4467005076142132,0.022244691607684528,0.004370839682412382,0.11270983213429256,0.096,0.003367003367003367,0.05084745762711865
combined,selection,6.292068552763764,76,0.5526315789473685,0.03111111111111111,0.004404145077720207,0.13013698630136986,0.140625,0.021052631578947368,0.058823529411764705
