association_identity_teacher_only,partition,event,observations,distinct_traversals,full_visibility_rows,star_variants,canonical_exit_count
175,fit,geometry_transition,8,2,8,1,2
176,fit,geometry_transition,5,2,5,1,2
177,fit,geometry_transition,5,2,5,1,2
178,fit,geometry_transition,8,2,8,1,2
179,fit,geometry_transition,4,2,4,1,2
180,fit,terminal,12,2,12,1,1
181,fit,terminal,17,2,17,1,1
182,fit,junction,44,6,44,1,3
183,fit,junction,51,6,51,1,3
184,fit,terminal,17,2,17,1,1
185,fit,terminal,17,2,17,1,1
186,selection,geometry_transition,1,1,1,1,2
187,selection,geometry_transition,6,2,6,1,2
188,selection,geometry_transition,5,2,5,1,2
189,selection,geometry_transition,5,2,5,1,2
190,selection,geometry_transition,7,2,7,1,2
191,selection,geometry_transition,1,1,1,1,2
192,selection,geometry_transition,2,2,2,1,2
193,selection,turn,5,2,5,1,2
194,selection,turn,3,2,3,1,2
195,selection,terminal,17,2,17,1,1
196,selection,terminal,11,2,11,1,1
197,selection,junction,47,6,47,1,3
198,selection,terminal,14,2,14,1,1
199,selection,junction,49,6,49,1,3
200,selection,junction,41,6,41,1,3
201,selection,terminal,17,2,17,1,1
202,selection,terminal,14,2,14,1,1
203,selection,geometry_transition,2,2,2,1,2
204,selection,geometry_transition,14,2,14,1,2
205,selection,geometry_transition,19,2,19,1,2
206,selection,geometry_transition,2,1,2,1,2
207,selection,geometry_transition,24,2,24,1,2
208,selection,geometry_transition,4,2,4,1,2
209,selection,geometry_transition,1,1,1,1,2
210,selection,geometry_transition,5,2,5,1,2
211,selection,geometry_transition,1,1,1,1,2
212,selection,geometry_transition,3,1,3,1,2
213,selection,geometry_transition,7,2,7,1,2
214,selection,geometry_transition,6,2,6,1,2
215,selection,geometry_transition,5,2,5,1,2
216,selection,geometry_transition,21,2,21,1,2
217,selection,geometry_transition,16,2,16,1,2
218,selection,geometry_transition,8,2,8,1,2
219,selection,geometry_transition,7,2,7,1,2
220,selection,geometry_transition,8,2,8,1,2
221,selection,geometry_transition,10,2,10,1,2
222,selection,geometry_transition,4,2,4,1,2
223,selection,junction,35,6,35,1,3
224,selection,junction,52,8,52,1,4
225,selection,terminal,17,2,17,1,1
226,selection,junction,46,6,46,1,3
227,selection,terminal,8,2,8,1,1
