partition,event,observations,identities
fit,corridor,102874,0
fit,junction,19743,417
fit,terminal,5551,375
fit,turn,1482,297
fit,geometry_transition,12534,2291
selection,corridor,32249,0
selection,junction,6865,146
selection,terminal,1974,128
selection,turn,521,95
selection,geometry_transition,4333,744
