seed,partition,score,average_precision,recall_at_precision_0p995,threshold,achieved_precision
0,fit,current_confidence,0.7111933688014432,0.07583568989435492,0.9453125,0.9952297592997812
0,fit,causal_five_frame_mean,0.7049071972109001,0.07516540390566642,0.9423828125,0.9950116982298151
0,fit,cross_seed_geometry_consensus,0.6538277463025575,0.07389819656386724,4.9453125,0.9953734896464986
0,selection,current_confidence,0.7181562368329395,0.09388815036943148,0.9453125,0.9954113405440839
0,selection,causal_five_frame_mean,0.7124216263003891,0.08030626230150142,0.9515625238418579,0.9951474907419231
0,selection,cross_seed_geometry_consensus,0.6638817452912119,0.09243515627415216,4.9453125,0.9953395472703063
0,c07,current_confidence,0.711067311574352,0.09731012658227849,0.9453125,0.99527983816588
0,c07,causal_five_frame_mean,0.7049051786744391,0.08473980309423347,0.953906238079071,0.9953536396489416
0,c07,cross_seed_geometry_consensus,0.6590213237287987,0.09640910689170183,4.9453125,0.9952359346642469
0,c08,current_confidence,0.7242645435935569,0.09822069581077672,0.94140625,0.9952811639795517
0,c08,causal_five_frame_mean,0.7189163354737921,0.09300114480858412,0.94140625,0.9950176458376583
0,c08,cross_seed_geometry_consensus,0.6681285239451001,0.0952519549061839,4.94140625,0.9955384303386737
1,fit,current_confidence,0.604110836096579,3.334756162629388e-05,0.9296875,1.0
1,fit,causal_five_frame_mean,0.6014241987520056,0.00015339878348095187,0.91015625,1.0
1,fit,cross_seed_geometry_consensus,0.5802593160419062,7.669939174047593e-05,4.921875,1.0
1,selection,current_confidence,0.6129641673785222,1.0304922661555424e-05,0.9296875,1.0
1,selection,causal_five_frame_mean,0.6103617047766503,0.00042250182912377245,0.9036458134651184,1.0
1,selection,cross_seed_geometry_consensus,0.5853504893558127,1.0304922661555424e-05,4.9296875,1.0
1,c07,current_confidence,0.6100793990867744,2.1976090014064698e-05,0.9296875,1.0
1,c07,causal_five_frame_mean,0.607884189058867,0.0007471870604781997,0.9036458134651184,1.0
1,c07,cross_seed_geometry_consensus,0.58248022505485,2.1976090014064698e-05,4.9296875,1.0
1,c08,current_confidence,0.6158826543481631,1.9403535324136057e-05,0.91796875,1.0
1,c08,causal_five_frame_mean,0.6128580170854981,0.0002716494945379048,0.897656261920929,1.0
1,c08,cross_seed_geometry_consensus,0.5882959306785173,1.9403535324136057e-05,4.91796875,1.0
2,fit,current_confidence,0.6804738858284002,0.009414016647102764,0.9140625,0.9957671957671957
2,fit,causal_five_frame_mean,0.6754452474658471,0.009684131896275745,0.91015625,0.9952021932830706
2,fit,cross_seed_geometry_consensus,0.6071236318767046,0.01101469960516487,4.90625,0.9951792708647182
2,selection,current_confidence,0.6932907607004464,0.006378747127502808,0.921875,0.9951768488745981
2,selection,causal_five_frame_mean,0.6872667997846112,0.004441421667130388,0.926562488079071,0.9953810623556582
2,selection,cross_seed_geometry_consensus,0.6141447947383465,0.010820168794633196,4.91015625,0.9971509971509972
2,c07,current_confidence,0.7021818700568154,0.00949367088607595,0.91796875,0.9953917050691244
2,c07,causal_five_frame_mean,0.696824302028664,0.00874648382559775,0.9169921875,0.995
2,c07,cross_seed_geometry_consensus,0.6239152012909028,0.012592299578059072,4.90625,0.9965217391304347
2,c08,current_confidence,0.6856652384960934,0.0016493005025515648,0.9375,1.0
2,c08,causal_five_frame_mean,0.6791248289774773,0.002697091410054912,0.930468738079071,1.0
2,c08,cross_seed_geometry_consensus,0.6057742985103346,0.010264470186467974,4.91015625,0.9962335216572504
