check,passed
prior_readiness_and_cardinality_are_sealed_pass,True
forward_remains_scans_only,True
exact_65_parameter_correction,True
profile_and_uncertainty_dimensions_match,True
all_outputs_and_losses_finite,True
all_trainable_gradients_present_finite_nonzero,True
count_and_geometry_rotation_at_most_3e5,True
count_and_geometry_batch_at_most_3e6,True
causal_past_exact,True
repeat_exact,True
zero_optimizer_checkpoint_validation_test_graph,True
