event,probability_threshold,consensus_votes,stable_frames,release_frames,c07_precision,c07_recall,c07_f1,c07_predicted_commits
1,0.5,2,1,2,0.9010695187165776,0.8100961538461539,0.8531645569620253,374
1,0.5,2,1,3,0.9010695187165776,0.8100961538461539,0.8531645569620253,374
1,0.5,2,1,5,0.9010695187165776,0.8100961538461539,0.8531645569620253,374
1,0.5,2,1,8,0.900804289544236,0.8076923076923077,0.8517110266159696,373
1,0.5,2,2,2,0.0,0.0,0.0,0
1,0.5,2,2,3,0.0,0.0,0.0,0
1,0.5,2,2,5,0.0,0.0,0.0,0
1,0.5,2,2,8,0.0,0.0,0.0,0
1,0.5,2,3,2,0.0,0.0,0.0,0
1,0.5,2,3,3,0.0,0.0,0.0,0
1,0.5,2,3,5,0.0,0.0,0.0,0
1,0.5,2,3,8,0.0,0.0,0.0,0
1,0.5,3,1,2,0.935374149659864,0.6610576923076923,0.7746478873239437,294
1,0.5,3,1,3,0.935374149659864,0.6610576923076923,0.7746478873239437,294
1,0.5,3,1,5,0.935374149659864,0.6610576923076923,0.7746478873239437,294
1,0.5,3,1,8,0.935374149659864,0.6610576923076923,0.7746478873239437,294
1,0.5,3,2,2,0.0,0.0,0.0,0
1,0.5,3,2,3,0.0,0.0,0.0,0
1,0.5,3,2,5,0.0,0.0,0.0,0
1,0.5,3,2,8,0.0,0.0,0.0,0
1,0.5,3,3,2,0.0,0.0,0.0,0
1,0.5,3,3,3,0.0,0.0,0.0,0
1,0.5,3,3,5,0.0,0.0,0.0,0
1,0.5,3,3,8,0.0,0.0,0.0,0
1,0.6,2,1,2,0.9103260869565217,0.8052884615384616,0.854591836734694,368
1,0.6,2,1,3,0.9103260869565217,0.8052884615384616,0.854591836734694,368
1,0.6,2,1,5,0.9103260869565217,0.8052884615384616,0.854591836734694,368
1,0.6,2,1,8,0.9100817438692098,0.8028846153846154,0.8531289910600257,367
1,0.6,2,2,2,0.0,0.0,0.0,0
1,0.6,2,2,3,0.0,0.0,0.0,0
1,0.6,2,2,5,0.0,0.0,0.0,0
1,0.6,2,2,8,0.0,0.0,0.0,0
1,0.6,2,3,2,0.0,0.0,0.0,0
1,0.6,2,3,3,0.0,0.0,0.0,0
1,0.6,2,3,5,0.0,0.0,0.0,0
1,0.6,2,3,8,0.0,0.0,0.0,0
1,0.6,3,1,2,0.9411764705882353,0.6538461538461539,0.7716312056737589,289
1,0.6,3,1,3,0.9411764705882353,0.6538461538461539,0.7716312056737589,289
1,0.6,3,1,5,0.9411764705882353,0.6538461538461539,0.7716312056737589,289
1,0.6,3,1,8,0.9411764705882353,0.6538461538461539,0.7716312056737589,289
1,0.6,3,2,2,0.0,0.0,0.0,0
1,0.6,3,2,3,0.0,0.0,0.0,0
1,0.6,3,2,5,0.0,0.0,0.0,0
