split,model,topology_spearman,coverage_spearman,pair_ranking_success,top1,top5,top10
forest,direct,0.2294589199537512,0.18292327926989146,0.6483551381254641,0.0056179775280898875,0.028089887640449437,0.05898876404494382
forest,semantic,0.2476233533817099,0.03827888187914195,0.7052468375994312,0.014044943820224719,0.05898876404494382,0.10112359550561797
campus,direct,0.21100946744029167,0.41378571604654946,0.4412758584920411,0.007204610951008645,0.02881844380403458,0.043227665706051875
campus,semantic,0.15831577209815925,0.28669834764169794,0.4883727829869794,0.005763688760806916,0.025936599423631124,0.043227665706051875
indoor,direct,0.5878063280569964,0.4937172979545728,0.7240068571177093,0.027096774193548386,0.0967741935483871,0.14838709677419354
indoor,semantic,0.6964974524440982,0.32161625307276775,0.9111792839680148,0.04,0.1393548387096774,0.2129032258064516
