split,relation,positive_rate,average_precision,precision_at_0p5,recall_at_0p5,maximum_recall_at_precision_0p98,positive_vs_empty_slice_auc,matched_fraction_within_0_bins,matched_fraction_within_1_bins,matched_fraction_within_2_bins,matched_fraction_within_4_bins,median_assignment_error_bins,p90_assignment_error_bins
C07,persistent,0.011597322094385853,0.13819055769606992,0.06369605551791914,0.929793463752099,0.0,0.9240101831911963,0.12374233921318158,0.27061415469407085,0.37176524622163537,0.4578459374506624,7.0,89.0
C07,reveal,0.0001361590497496538,0.006115429199792822,0.0015930454598204395,0.8306845965770171,0.0,0.8745596841884247,0.06907090464547677,0.1815403422982885,0.28422982885085574,0.38141809290953543,10.0,79.0
C07,withdraw,0.00014381591562799616,0.008936001976203383,0.001655588257081814,0.8148148148148148,0.0005787037037037037,0.8742150835571086,0.06944444444444445,0.18344907407407407,0.2650462962962963,0.35011574074074076,12.0,77.0
C08,persistent,0.0115855092413358,0.13335567905141452,0.06357628389924751,0.9215950791165678,0.0,0.840877011421816,0.12995909577529285,0.27446054072786,0.3753411263822967,0.46068305723497344,7.0,88.0
C08,reveal,0.00015105891799658739,0.007053651446060835,0.0016999812289728398,0.8381585192216422,0.0,0.8751751684331969,0.07736117702895111,0.20170859041290934,0.2904603701945895,0.40389178927384906,10.0,77.0
C08,withdraw,0.00015636426205531897,0.0060804647276471915,0.001732702082032524,0.8257679963319579,0.0,0.8738715128497508,0.083447959651536,0.19303071985327833,0.2728106373223292,0.37551581843191195,15.0,80.0
