source,mode,event,probe_iterations,transfer_prevalence,transfer_ap_over_prevalence,fit_roc_auc,fit_average_precision,fit_threshold,fit_precision,fit_recall,transfer_roc_auc,transfer_average_precision,transfer_precision,transfer_recall,transfer_false_positive_rate,transfer_identity_covered,transfer_identity_total
seed0,train_free,junction,0,0.1506927933098303,6.022060868727785,0.982982355447264,0.9434161129186855,2.9863922595977783,0.9800947867298578,0.6484791470680464,0.9682383393727743,0.907481173790413,0.9635912287960281,0.6335690968443961,0.004247514238826141,72,77
seed0,independent_head,junction,0,0.1506927933098303,6.195886807664261,0.9841726244166402,0.9502256672684994,0.9798499941825867,0.9801512287334594,0.6503606146127313,0.9690520606736127,0.9336754900784546,0.9649551752241239,0.6441784548422198,0.004150979824307365,72,77
seed0,explicit_probe,junction,38,0.1506927933098303,5.776364814187536,0.9945659417275918,0.9686014087062794,0.997716411797383,0.9802273850716757,0.6218250235183443,0.949001021121919,0.8704565490265387,0.936080740117746,0.6055495103373232,0.0073366155034269714,74,77
seed0,train_free,terminal,0,0.04402721980814955,22.484949749248244,0.9880641116707564,0.9818127444762609,-0.3828186094760895,0.9802784222737819,0.9388888888888889,0.9960420319991312,0.9899498249853494,0.9631379962192816,0.9487895716945997,0.0016723842195540308,68,69
seed0,independent_head,terminal,0,0.04402721980814955,22.564165897882287,0.9997358904817254,0.9939816165308742,0.8936054110527039,0.9804372842347526,0.9466666666666667,0.9996817415218912,0.9934374917736155,0.9499072356215214,0.9534450651769087,0.0023156089193825044,68,69
seed0,explicit_probe,terminal,13,0.04402721980814955,20.693754335763796,0.9999980089543243,0.9999534347410695,0.9252132238278428,0.9988901220865705,1.0,0.9965604846823883,0.9110884707965203,0.9051418439716312,0.9506517690875232,0.004588336192109777,69,69
seed0,train_free,turn,0,0.009715503812412889,0.8963094181423038,0.4674611829254585,0.01292646422569485,,,0.0,0.3644152554081432,0.008708097569063131,0.0,0.0,0.0,0,52
seed0,independent_head,turn,0,0.009715503812412889,6.446845497199736,0.9248429951141303,0.22494079621652321,,,0.0,0.8561442909769756,0.0626343520060809,0.0,0.0,0.0,0,52
seed0,explicit_probe,turn,40,0.009715503812412889,7.288576400067254,0.9974316027954596,0.7588309837437006,0.9999958521798027,1.0,0.021505376344086023,0.74223858028589,0.07081219180191602,0.14583333333333334,0.029535864978902954,0.0016972306163844848,4,52
seed0,train_free,geometry_transition,0,0.007091907846191687,1.3593922154712532,0.6891046374199483,0.005133363260861934,,,0.0,0.666317123653983,0.00964068431895248,0.0,0.0,0.0,0,12
seed0,independent_head,geometry_transition,0,0.007091907846191687,2.75595911682526,0.761139834091495,0.0442374859068589,0.7685370445251465,1.0,0.029850746268656716,0.8106606482264829,0.019545008084396572,0.0,0.0,0.0006192973039924033,0,12
seed0,explicit_probe,geometry_transition,13,0.007091907846191687,2.091364245900645,0.9999993051825737,0.9997805092186128,0.9742698475644871,0.9852941176470589,1.0,0.6577063853012469,0.014831762504747544,0.0,0.0,0.002105610833574171,0,12
seed1,train_free,junction,0,0.1506927933098303,5.939471869481617,0.9789882892249833,0.9267084704715554,3.9311039447784424,0.9866666666666667,0.023204766384446535,0.9711368468813975,0.8950356067973446,1.0,0.012785636561479869,0.0,2,77
seed1,independent_head,junction,0,0.1506927933098303,6.232766199597903,0.980083198667679,0.9465777028466396,0.9608104228973389,0.98047229791099,0.6770147381624334,0.9729923047680753,0.9392329486645034,0.9752,0.6632208922742111,0.002992566850082054,71,77
seed1,explicit_probe,junction,67,0.1506927933098303,5.822752350533061,0.9929714238601833,0.9652689664466019,0.9963967055854971,0.9801260300533204,0.6340545625587959,0.9457794870356592,0.877446816453207,0.9434351775392238,0.6215995647442872,0.006612607394536152,75,77
seed1,train_free,terminal,0,0.04402721980814955,22.261208623285743,0.9776294717809635,0.9686466916522021,-0.5884383320808411,0.9807692307692307,0.9066666666666666,0.990365484187293,0.9800991252524756,0.9771825396825397,0.9171322160148976,0.000986277873070326,68,69
seed1,independent_head,terminal,0,0.04402721980814955,22.453602824582525,0.999359421412889,0.9887456462926445,0.8316267728805542,0.9806763285024155,0.9022222222222223,0.9993340568113942,0.9885697070427824,0.9771371769383698,0.9152700186219739,0.000986277873070326,68,69
