partition,node_precision,node_recall,node_f1,edge_precision,edge_recall,edge_f1,macro_f1
fit,1.0,0.73989898989899,0.8505079825834543,1.0,0.3055555555555556,0.46808510638297873,0.6592965444832165
selection,1.0,0.6751824817518248,0.8061002178649238,1.0,0.3076923076923077,0.47058823529411764,0.6383442265795207
