different_median,different_p10,environment,f1,false_merge_rate,false_split_rate,method,negative_pairs,positive_pairs,pr_auc,precision,recall,recall_at_1,recall_at_10,recall_at_5,roc_auc,same_median,same_p90,threshold
0.3800571858882904,0.18854309618473053,perlin2,0.11923509561304838,0.02582051282051282,0.894070619586942,input_geometry,39000,1501,0.07754099436278855,0.13636363636363635,0.10592938041305797,0.15724381625441697,0.3250883392226148,0.26855123674911663,0.560936341584243,0.35264885425567627,0.5759133100509644,0.11534978996349286
0.6489357948303223,0.23400729894638062,perlin2,0.12682178470979288,0.055435897435897434,0.8347768154563624,old_tunnel_64,39000,1501,0.0785076683393096,0.10290456431535269,0.16522318454363757,0.12014134275618374,0.3339222614840989,0.25618374558303886,0.5907792070243769,0.5343441963195801,1.024247169494629,0.15847286770615396
0.5878080725669861,0.2642653286457062,perlin2,0.1431395808620008,0.02171794871794872,0.8794137241838774,new_multienv_64,39000,1501,0.09316928658602242,0.17607003891050585,0.12058627581612258,0.14840989399293286,0.33568904593639576,0.26855123674911663,0.6017110387946497,0.4866523742675781,0.8991168141365051,0.14910015878798086
0.8794705271720886,0.4113908112049103,perlin2,0.0013315579227696404,0.0,0.9993337774816788,new_multienv_128,39000,1501,0.09860608188184639,1.0,0.0006662225183211193,0.14487632508833923,0.3551236749116608,0.28091872791519434,0.6235898204615726,0.6979613304138184,1.2560210227966309,0.007174491882324219
0.5029343366622925,0.40788596868515015,ku,0.0,0.0,1.0,input_geometry,39000,1636,0.07684145407574129,0.0,0.0,0.020694752402069475,0.06577974870657798,0.04804138950480414,0.5986986317472259,0.47216174006462097,0.5958130061626434,0.11534978996349286
0.5456729233264923,0.2922116816043854,ku,0.038350910834132314,0.010512820512820513,0.9755501222493888,old_tunnel_64,39000,1636,0.04951928206006673,0.08888888888888889,0.02444987775061125,0.0,0.025868440502586843,0.009608277900960829,0.5379026941884522,0.516040563583374,0.8540096879005432,0.15847286770615396
0.3530712425708771,0.13964135944843292,ku,0.10157943635800558,0.11523076923076923,0.7995110024449877,new_multienv_64,39000,1636,0.05789560391238085,0.06802156781418499,0.20048899755501223,0.0066518847006651885,0.04138950480413895,0.025129342202512936,0.5633551266378284,0.29990530014038086,0.740613579750061,0.14910015878798086
0.35842880606651306,0.1504279375076294,ku,0.0,0.0,1.0,new_multienv_128,39000,1636,0.060579926554979346,0.0,0.0,0.008130081300813009,0.03547671840354767,0.021433850702143386,0.584075967024011,0.2953084111213684,0.6537490785121918,0.007174491882324219
0.22355061769485474,0.1585496962070465,campus,0.033003300330033,0.0070239689524173934,0.8780487804878049,input_geometry,36589,41,0.006335754147519762,0.019083969465648856,0.12195121951219512,0.0,0.18518518518518517,0.12962962962962962,0.5786388552070494,0.228268563747406,0.26358509063720703,0.11534978996349286
0.41313689947128296,0.1897648572921753,campus,0.004440497335701599,0.060291344393123614,0.8780487804878049,old_tunnel_64,36589,41,0.001363574090295665,0.002261420171867933,0.12195121951219512,0.037037037037037035,0.12962962962962962,0.1111111111111111,0.44390057254312737,0.5137037038803101,0.8674240708351135,0.15847286770615396
0.2604488134384155,0.1113457903265953,campus,0.003885650846516792,0.19544125283555167,0.6585365853658537,new_multienv_64,36589,41,0.003542080818867584,0.001953942777390091,0.34146341463414637,0.05555555555555555,0.2962962962962963,0.25925925925925924,0.5386204970306283,0.2633935213088989,0.5117571353912354,0.14910015878798086
0.3343709707260132,0.15251512825489044,campus,0.0,0.0,1.0,new_multienv_128,36589,41,0.002733564339501007,0.0,0.0,0.1111111111111111,0.2777777777777778,0.2037037037037037,0.4731536667357709,0.4410131573677063,0.7670379877090454,0.007174491882324219
0.3162214159965515,0.1842007040977478,indoor,0.003925417075564278,0.022404146028251696,0.95,input_geometry,43608,40,0.0015370119086266594,0.0020429009193054137,0.05,0.10526315789473684,0.23684210526315788,0.15789473684210525,0.6799182489451476,0.25882548093795776,0.3445913016796112,0.11534978996349286
0.6050604283809662,0.314363032579422,indoor,0.003081664098613251,0.013942395890662264,0.975,old_tunnel_64,43608,40,0.002184526412179396,0.0016420361247947454,0.025,0.10526315789473684,0.23684210526315788,0.21052631578947367,0.6553407631627224,0.49652811884880066,0.7691284000873567,0.15847286770615396
0.6630936563014984,0.32739776372909546,indoor,0.015473887814313346,0.010846633645202716,0.9,new_multienv_64,43608,40,0.006307934730909857,0.008385744234800839,0.1,0.21052631578947367,0.47368421052631576,0.34210526315789475,0.7955111447440837,0.3670320510864258,0.6668700277805328,0.14910015878798086
0.8574055433273315,0.4394325017929077,indoor,0.0,0.0,1.0,new_multienv_128,43608,40,0.00816446980511725,0.0,0.0,0.13157894736842105,0.3684210526315789,0.2894736842105263,0.7649542515134837,0.5039702355861664,0.9095972657203675,0.007174491882324219
