environment,false_merge_rate_delta_median,false_merge_rate_delta_p90,false_split_rate_delta_median,false_split_rate_delta_p90,feature_drift_median_median,feature_drift_median_p90,graph_edge_change_rate_median,graph_edge_change_rate_p90,method,node_count_delta_median,node_count_delta_p90,node_id_retention_median,node_id_retention_p90,node_match_consistency_median,node_match_consistency_p90,perturbation
perlin2,0.0,0.0,0.03574660633484161,0.04952610615872326,0.027254462242126465,0.03002331256866455,0.13068181818181818,0.14431818181818182,input_geometry,23.0,23.8,0.9560439560439561,0.9560439560439561,0.9560439560439561,0.9560439560439561,sector_occlusion
perlin2,0.0,0.0,0.01978021978021971,0.042959294226899834,0.007521271705627441,0.0075406312942504885,0.017045454545454544,0.02159090909090909,input_geometry,-1.0,1.4000000000000001,0.9725274725274725,0.9725274725274725,0.9725274725274725,0.9725274725274725,random_drop
perlin2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,input_geometry,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
perlin2,0.0,0.0,0.018858560794044577,0.024803844583346325,0.028725802898406982,0.028782546520233154,0.028409090909090908,0.055681818181818186,input_geometry,5.0,8.2,0.9560439560439561,0.9560439560439561,0.9560439560439561,0.9560439560439561,translation
perlin2,0.0,0.0,0.005494505494505475,0.012287712287712261,0.011396229267120361,0.01182152032852173,0.005681818181818182,0.010227272727272727,input_geometry,2.0,2.8,0.967032967032967,0.9714285714285714,0.967032967032967,0.9714285714285714,rotation
perlin2,0.0,0.0,0.0243145743145744,0.025698909469401322,0.020684361457824707,0.0211742639541626,0.016304347826086956,0.029347826086956522,old_tunnel_64,0.0,3.2,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,sector_occlusion
perlin2,0.0,0.0,-0.03896103896103886,0.0019862490450726095,0.009056150913238525,0.009283888339996337,0.010869565217391304,0.02391304347826087,old_tunnel_64,1.0,3.4000000000000004,0.9473684210526315,0.968421052631579,0.9473684210526315,0.968421052631579,random_drop
perlin2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_tunnel_64,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
perlin2,0.0,0.0,0.022951890876419245,0.039350679602251935,0.014318585395812988,0.01461012363433838,0.016304347826086956,0.020652173913043477,old_tunnel_64,3.0,3.0,0.9473684210526315,0.951578947368421,0.9473684210526315,0.951578947368421,translation
perlin2,0.0,0.0,0.0033641057737443525,0.00801720091292175,0.011426031589508057,0.011732304096221923,0.021739130434782608,0.03043478260869565,old_tunnel_64,3.0,4.6,0.9421052631578948,0.9589473684210527,0.9421052631578948,0.9589473684210527,rotation
perlin2,0.0,0.0,-0.025523560209424034,0.020155452136255005,0.03642773628234863,0.03904576301574707,0.04854368932038835,0.06407766990291262,new_multienv_64,-10.0,-6.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,sector_occlusion
perlin2,0.0,0.0,-0.01610144965666016,-0.003639138098871241,0.01600569486618042,0.016416394710540773,0.03398058252427184,0.03786407766990291,new_multienv_64,-5.0,-2.5999999999999996,0.9476190476190476,0.959047619047619,0.9476190476190476,0.959047619047619,random_drop
perlin2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new_multienv_64,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
perlin2,0.0,0.0,-0.004919164605028392,0.004684275433194252,0.013827800750732422,0.014165115356445313,0.014563106796116505,0.018446601941747572,new_multienv_64,-2.0,-1.2,0.9666666666666667,0.9742857142857143,0.9666666666666667,0.9742857142857143,translation
