average_degree,change_recall_by_radius,connected_component_count,duplicate_node_count,edge_count,effective_node_count,environment,error_edge_count,false_merge_pairs,false_merge_rate,false_split_pairs,false_split_rate,generated_node_count,largest_connected_component_ratio,merged_pair_count,method,missed_change_node_count_2m,missing_edge_count,node_spacing_m,path_reachability,positive_node_pair_count,shortest_path_relative_error,structure_f1_2m,structure_precision,structure_recall_2m
2.1204819277108435,"{""1.0m"": 0.36666666666666664, ""2.0m"": 0.6, ""3.0m"": 0.8111111111111111}",3,78,176,166,perlin2,0,0,0.0,132,0.9230769230769231,182,0.5240963855421686,17,input_geometry,36,0,"{""count"": 10, ""max"": 13.13160407288526, ""mean"": 6.590693562176701, ""median"": 5.717766414044267, ""p10"": 5.376153067523499, ""p90"": 9.788517999292806}",1.0,143,"{""count"": 256, ""max"": 0.9579725804561864, ""mean"": 0.2817334822582508, ""median"": 0.22416118430492732, ""p10"": 0.028933830100619833, ""p90"": 0.6843034125065814}",0.40167364016736395,0.3018867924528302,0.6
2.164705882352941,"{""1.0m"": 0.26666666666666666, ""2.0m"": 0.5666666666666667, ""3.0m"": 0.8555555555555555}",1,90,184,170,perlin2,0,0,0.0,134,0.8701298701298701,190,1.0,30,old_tunnel_64,39,0,"{""count"": 12, ""max"": 5.77445415936743, ""mean"": 5.492244635147251, ""median"": 5.663100930262303, ""p10"": 5.551494834299004, ""p90"": 5.722064605257085}",1.0,154,"{""count"": 256, ""max"": 0.9544805116676022, ""mean"": 0.29884633800512805, ""median"": 0.20223944594653662, ""p10"": 0.020056982395571275, ""p90"": 0.6741520777395609}",0.35249764373232795,0.2558139534883721,0.5666666666666667
2.157068062827225,"{""1.0m"": 0.4222222222222222, ""2.0m"": 0.7111111111111111, ""3.0m"": 0.9111111111111111}",1,103,206,191,perlin2,0,0,0.0,172,0.900523560209424,210,1.0,22,new_multienv_64,25,0,"{""count"": 12, ""max"": 5.77445415936743, ""mean"": 5.492244635147251, ""median"": 5.663100930262303, ""p10"": 5.551494834299004, ""p90"": 5.722064605257085}",1.0,191,"{""count"": 256, ""max"": 1.0, ""mean"": 0.2452070493421193, ""median"": 0.1646981022086174, ""p10"": 0.025368759780251195, ""p90"": 0.6739883426499028}",0.4264771212794313,0.30456852791878175,0.7111111111111111
1.9607843137254901,"{""1.0m"": 0.37777777777777777, ""2.0m"": 0.6, ""3.0m"": 0.8666666666666667}",4,100,200,204,perlin2,0,0,0.0,190,1.0,204,0.4068627450980392,0,new_multienv_128,36,0,"{""count"": 11, ""max"": 9.535554587931586, ""mean"": 5.991539601978818, ""median"": 5.627183604332892, ""p10"": 5.573381249372156, ""p90"": 7.6768940642696535}",1.0,190,"{""count"": 256, ""max"": 0.43468663956511167, ""mean"": 0.12712484277765912, ""median"": 0.11742828551861825, ""p10"": 0.016272268826767074, ""p90"": 0.2276102630172575}",0.3580998781973203,0.2552083333333333,0.6
2.9577464788732395,"{""1.0m"": 0.2222222222222222, ""2.0m"": 0.32222222222222224, ""3.0m"": 0.5666666666666667}",1,44,105,71,perlin2,0,0,0.0,5,0.08333333333333333,115,1.0,59,fixed_distance,61,0,"{""count"": 6, ""max"": 11.494503578454676, ""mean"": 10.984489270294501, ""median"": 11.270188016797054, ""p10"": 10.285734606155398, ""p90"": 11.397545187931051}",1.0,60,"{""count"": 256, ""max"": 1.0, ""mean"": 0.36459929667003754, ""median"": 0.3539274300800491, ""p10"": 0.03986810576609667, ""p90"": 0.7866139474545908}",0.0,0.0,0.32222222222222224
1.992530345471522,"{""1.0m"": 0.362962962962963, ""2.0m"": 0.671604938271605, ""3.0m"": 0.980246913580247}",4,189,1067,1071,ku,3,0,0.0,224,1.0,1071,0.37068160597572364,0,input_geometry,133,0,"{""count"": 396, ""max"": 14.98273498240718, ""mean"": 5.6758805171393405, ""median"": 6.105038694876271, ""p10"": 4.07513681202704, ""p90"": 6.188649587479063}",1.0,224,"{""count"": 256, ""max"": 0.1783226035381252, ""mean"": 0.04837022658787904, ""median"": 0.031538857374322944, ""p10"": 0.012173473345237206, ""p90"": 0.10524451925887293}",0.3492889467644822,0.23601895734597156,0.671604938271605
2.0022396416573347,"{""1.0m"": 0.3012345679012346, ""2.0m"": 0.5851851851851851, ""3.0m"": 0.8271604938271605}",4,136,894,893,ku,5,0,0.0,151,0.9805194805194806,898,0.3437849944008959,5,old_tunnel_64,168,0,"{""count"": 308, ""max"": 14.98273498240718, ""mean"": 7.297560664893438, ""median"": 6.177297436856538, ""p10"": 4.096084528792099, ""p90"": 10.268943791502062}",1.0,154,"{""count"": 256, ""max"": 0.879190413593017, ""mean"": 0.1575748648379079, ""median"": 0.09957614000939863, ""p10"": 0.020277543020181463, ""p90"": 0.39207995213228086}",0.3450513103214316,0.24465558194774348,0.5851851851851851
2.0974289580514207,"{""1.0m"": 0.25925925925925924, ""2.0m"": 0.5061728395061729, ""3.0m"": 0.7580246913580246}",1,109,775,739,ku,4,0,0.0,96,0.8067226890756303,779,1.0,40,new_multienv_64,200,0,"{""count"": 275, ""max"": 17.059053171898142, ""mean"": 8.173267944680651, ""median"": 8.115950003060334, ""p10"": 6.076774827342797, ""p90"": 12.238557696322733}",1.0,119,"{""count"": 256, ""max"": 0.9703741867090984, ""mean"": 0.39303682389890865, ""median"": 0.3749020717922965, ""p10"": 0.037738330229372424, ""p90"": 0.8144627391733719}",0.34475678318259595,0.2613981762917933,0.5061728395061729
1.9865092748735245,"{""1.0m"": 0.20246913580246914, ""2.0m"": 0.38765432098765434, ""3.0m"": 0.5950617283950618}",4,72,589,593,ku,5,0,0.0,77,1.0,593,0.3625632377740304,0,new_multienv_128,247,0,"{""count"": 214, ""max"": 19.09232052495946, ""mean"": 10.503031237323265, ""median"": 12.143272310309413, ""p10"": 8.101507421087216, ""p90"": 12.321274894340643}",1.0,77,"{""count"": 256, ""max"": 0.4619394608412943, ""mean"": 0.09393683165416464, ""median"": 0.07457406478461046, ""p10"": 0.022383234320034057, ""p90"": 0.1755677914056476}",0.335424337469885,0.29559748427672955,0.38765432098765434
2.132575757575758,"{""1.0m"": 0.2074074074074074, ""2.0m"": 0.3506172839506173, ""3.0m"": 0.5407407407407407}",1,43,563,528,ku,5,0,0.0,3,0.06521739130434782,570,1.0,49,fixed_distance,263,0,"{""count"": 219, ""max"": 19.09232052495946, ""mean"": 10.263236003594423, ""median"": 10.218223056770967, ""p10"": 10.132129824669482, ""p90"": 10.287828517064872}",1.0,46,"{""count"": 256, ""max"": 0.9452581632232436, ""mean"": 0.4272885468210932, ""median"": 0.4530530920655883, ""p10"": 0.0281157643060939, ""p90"": 0.8425674891032666}",0.0,0.0,0.3506172839506173
1.96875,"{""1.0m"": 0.23076923076923078, ""2.0m"": 0.41025641025641024, ""3.0m"": 0.5897435897435898}",1,1,63,64,campus,0,0,0.0,1,1.0,64,1.0,0,input_geometry,23,0,"{""count"": 63, ""max"": 12.208694367881321, ""mean"": 8.582968707734079, ""median"": 8.101528826700132, ""p10"": 6.072630527813194, ""p90"": 11.77382575416272}",1.0,1,"{""count"": 256, ""max"": 0.12357599950819037, ""mean"": 0.03184530525484604, ""median"": 0.03176783041809027, ""p10"": 0.013810929142894824, ""p90"": 0.05091838471007258}",0.32764505119453924,0.2727272727272727,0.41025641025641024
2.0,"{""1.0m"": 0.15384615384615385, ""2.0m"": 0.358974358974359, ""3.0m"": 0.7435897435897436}",1,5,72,72,campus,0,0,0.0,4,1.0,73,1.0,1,old_tunnel_64,24,0,"{""count"": 72, ""max"": 13.778992705461107, ""mean"": 7.510097619267319, ""median"": 6.094228059407953, ""p10"": 4.56667607542023, ""p90"": 12.125035132325344}",1.0,4,"{""count"": 256, ""max"": 0.3691206200134528, ""mean"": 0.04190608815160298, ""median"": 0.035060725907940765, ""p10"": 0.011363953571712562, ""p90"": 0.07252953362695463}",0.251497005988024,0.1935483870967742,0.358974358974359
2.032258064516129,"{""1.0m"": 0.1794871794871795, ""2.0m"": 0.28205128205128205, ""3.0m"": 0.6923076923076923}",1,4,63,62,campus,0,0,0.0,2,0.5,64,1.0,2,new_multienv_64,28,0,"{""count"": 63, ""max"": 13.862832793631867, ""mean"": 8.582968707734079, ""median"": 8.1015386197015, ""p10"": 5.9521383336769755, ""p90"": 12.220120199134772}",1.0,4,"{""count"": 256, ""max"": 0.9379983365674497, ""mean"": 0.16115985608283012, ""median"": 0.040828846568098626, ""p10"": 0.010351870925062203, ""p90"": 0.4560678897001664}",0.20952380952380953,0.16666666666666666,0.28205128205128205
1.9642857142857142,"{""1.0m"": 0.23076923076923078, ""2.0m"": 0.358974358974359, ""3.0m"": 0.6410256410256411}",1,4,55,56,campus,0,0,0.0,3,1.0,56,1.0,0,new_multienv_128,24,0,"{""count"": 55, ""max"": 13.964423917577335, ""mean"": 9.831400519768128, ""median"": 10.12038891263333, ""p10"": 6.069172233298275, ""p90"": 12.470220396061302}",1.0,3,"{""count"": 256, ""max"": 0.1119489039347923, ""mean"": 0.041828289400058796, ""median"": 0.04312060303639348, ""p10"": 0.018668691307753213, ""p90"": 0.06011641649698817}",0.3099630996309963,0.2727272727272727,0.358974358974359
2.0,"{""1.0m"": 0.1282051282051282, ""2.0m"": 0.3333333333333333, ""3.0m"": 0.6153846153846154}",1,2,51,51,campus,0,0,0.0,0,0.0,53,1.0,2,fixed_distance,26,0,"{""count"": 52, ""max"": 12.011989136427616, ""mean"": 10.398596703600903, ""median"": 10.127383610477064, ""p10"": 10.105917709590084, ""p90"": 11.831820646835405}",1.0,1,"{""count"": 256, ""max"": 0.9439560004552479, ""mean"": 0.17159843142898812, ""median"": 0.07255871091533041, ""p10"": 0.021668954027236155, ""p90"": 0.484724519967649}",0.0,0.0,0.3333333333333333
2.0240963855421685,"{""1.0m"": 0.4444444444444444, ""2.0m"": 0.75, ""3.0m"": 0.9166666666666666}",1,7,84,83,indoor,0,0,0.0,1,0.5,85,1.0,2,input_geometry,9,0,"{""count"": 84, ""max"": 12.137918956527235, ""mean"": 6.449018067145439, ""median"": 5.916836235654401, ""p10"": 4.334829451809723, ""p90"": 10.01729635221812}",1.0,2,"{""count"": 256, ""max"": 0.640315735060837, ""mean"": 0.13812510760986632, ""median"": 0.0899234104522814, ""p10"": 0.031691901727333695, ""p90"": 0.30067111043940187}",0.4403669724770642,0.3116883116883117,0.75
2.0,"{""1.0m"": 0.4722222222222222, ""2.0m"": 0.9444444444444444, ""3.0m"": 1.0}",1,12,96,96,indoor,0,0,0.0,5,1.0,97,1.0,1,old_tunnel_64,2,0,"{""count"": 96, ""max"": 12.138125433016796, ""mean"": 5.642890808752259, ""median"": 5.911093430086538, ""p10"": 4.002714064427202, ""p90"": 6.54608193796237}",1.0,5,"{""count"": 256, ""max"": 0.59809277425498, ""mean"": 0.07918341603559823, ""median"": 0.05188015025950901, ""p10"": 0.013179472208339787, ""p90"": 0.148043752837785}",0.4770813844714686,0.3191489361702128,0.9444444444444444
1.9811320754716981,"{""1.0m"": 0.3333333333333333, ""2.0m"": 0.8333333333333334, ""3.0m"": 1.0}",1,9,105,106,indoor,0,0,0.0,3,1.0,108,1.0,2,new_multienv_64,5,0,"{""count"": 107, ""max"": 10.114188299347518, ""mean"": 5.062780538693616, ""median"": 5.1129453359300285, ""p10"": 3.9601108390352127, ""p90"": 6.067796790809716}",1.0,3,"{""count"": 256, ""max"": 0.2973085746725157, ""mean"": 0.05284607399372176, ""median"": 0.053261132165766084, ""p10"": 0.018451822266224327, ""p90"": 0.07662309737722645}",0.40114613180515757,0.2641509433962264,0.8333333333333334
1.98,"{""1.0m"": 0.3055555555555556, ""2.0m"": 0.7777777777777778, ""3.0m"": 1.0}",1,7,99,100,indoor,0,0,0.0,2,1.0,100,1.0,0,new_multienv_128,8,0,"{""count"": 99, ""max"": 12.447137406214893, ""mean"": 5.471894117577948, ""median"": 5.623330529677077, ""p10"": 4.039138195588737, ""p90"": 6.0711144939241235}",1.0,2,"{""count"": 256, ""max"": 0.14235009866814735, ""mean"": 0.040131914800156716, ""median"": 0.036215481999475295, ""p10"": 0.018081934143977917, ""p90"": 0.06263799447143288}",0.40688912809472555,0.2755102040816326,0.7777777777777778
2.0408163265306123,"{""1.0m"": 0.1111111111111111, ""2.0m"": 0.3055555555555556, ""3.0m"": 0.5}",1,2,50,49,indoor,0,0,0.0,0,0.0,51,1.0,2,fixed_distance,25,0,"{""count"": 50, ""max"": 12.010053898908211, ""mean"": 10.834350352804336, ""median"": 10.563747474670038, ""p10"": 10.08323236967295, ""p90"": 11.871872605524754}",1.0,1,"{""count"": 256, ""max"": 1.0, ""mean"": 0.2875168224753143, ""median"": 0.21594109903533076, ""p10"": 0.12173969946590867, ""p90"": 0.5664093107811994}",0.0,0.0,0.3055555555555556
