pose_index,frame_index,route_arc_m,edge_id,tunnel_id,z_offset_m,candidate_sensor_z_m,horizontal_clearance_m,downward_distance_m,upward_distance_m,vertical_evidence_complete,floor_following_passed,feasible
0,6,12.0,edge_0000,129,-1.0,-33.399305956552716,0.9777858257293701,inf,0.43694373965263367,False,False,False
0,6,12.0,edge_0000,129,-0.95,-33.34930595655272,0.548103928565979,inf,0.38694068789482117,False,False,False
0,6,12.0,edge_0000,129,-0.9,-33.299305956552715,0.45399829745292664,inf,0.33694151043891907,False,False,False
0,6,12.0,edge_0000,129,-0.85,-33.24930595655272,0.3383566439151764,inf,0.2869422733783722,False,False,False
0,6,12.0,edge_0000,129,-0.8,-33.19930595655271,0.30223724246025085,inf,0.23694302141666412,False,False,False
0,6,12.0,edge_0000,129,-0.75,-33.149305956552716,0.26623043417930603,inf,0.18694378435611725,False,False,False
0,6,12.0,edge_0000,129,-0.7,-33.09930595655272,0.23022091388702393,inf,0.13694071769714355,False,False,False
0,6,12.0,edge_0000,129,-0.65,-33.049305956552715,0.19276368618011475,inf,0.08694148808717728,False,False,False
0,6,12.0,edge_0000,129,-0.6,-32.99930595655272,0.08190707862377167,inf,0.036942243576049805,False,False,False
0,6,12.0,edge_0000,129,-0.55,-32.94930595655271,0.015065309591591358,0.013056994415819645,3.977787971496582,True,False,False
0,6,12.0,edge_0000,129,-0.5,-32.899305956552716,0.06093002110719681,0.06305623054504395,3.927788734436035,True,False,False
0,6,12.0,edge_0000,129,-0.45,-32.84930595655272,0.10679823160171509,0.11305928230285645,3.8777856826782227,True,False,False
0,6,12.0,edge_0000,129,-0.4,-32.799305956552715,0.1526629477739334,0.16305848956108093,3.8277862071990967,True,False,False
0,6,12.0,edge_0000,129,-0.35,-32.74930595655272,0.19852764904499054,0.2130577266216278,3.777787208557129,True,False,False
0,6,12.0,edge_0000,129,-0.3,-32.69930595655271,0.24439235031604767,0.2630569636821747,3.727787971496582,True,False,False
0,6,12.0,edge_0000,129,-0.25,-32.649305956552716,0.29603537917137146,0.31305620074272156,3.677788496017456,True,False,False
0,6,12.0,edge_0000,129,-0.2,-32.59930595655272,0.35669732093811035,0.36305928230285645,3.6277854442596436,True,False,False
0,6,12.0,edge_0000,129,-0.15,-32.549305956552715,0.4197060763835907,0.4130585193634033,3.5777862071990967,True,False,False
0,6,12.0,edge_0000,129,-0.1,-32.49930595655272,0.48294124007225037,0.4630577862262726,3.527787208557129,True,False,False
0,6,12.0,edge_0000,129,-0.05,-32.44930595655271,0.5536577701568604,0.5130569934844971,3.477787733078003,True,False,False
0,6,12.0,edge_0000,129,0.0,-32.399305956552716,0.631976306438446,0.5630562901496887,3.427788496017456,True,False,False
0,6,12.0,edge_0000,129,0.05,-32.34930595655272,1.3561116456985474,0.6130593419075012,3.3777856826782227,True,False,False
0,6,12.0,edge_0000,129,0.1,-32.299305956552715,1.4057987928390503,0.6630585789680481,3.3277862071990967,True,False,False
0,6,12.0,edge_0000,129,0.15,-32.24930595655272,1.4564653635025024,0.713057816028595,3.27778697013855,True,False,False
0,6,12.0,edge_0000,129,0.2,-32.19930595655271,1.511785864830017,0.7630570530891418,3.227787971496582,True,False,False
0,6,12.0,edge_0000,129,0.25,-32.149305956552716,1.7422540187835693,0.8130562901496887,3.177788734436035,True,False,False
0,6,12.0,edge_0000,129,0.3,-32.09930595655272,1.941919207572937,0.8630593419075012,3.1277854442596436,True,False,False
0,6,12.0,edge_0000,129,0.35,-32.049305956552715,2.0001330375671387,0.9130585789680481,3.0777862071990967,True,False,False
0,6,12.0,edge_0000,129,0.4,-31.999305956552718,2.045281171798706,0.963057816028595,3.027787208557129,True,True,True
0,6,12.0,edge_0000,129,0.45,-31.949305956552717,2.097612142562866,1.0130571126937866,2.977787971496582,True,True,True
0,6,12.0,edge_0000,129,0.5,-31.899305956552716,2.153468132019043,1.0630581378936768,2.9277868270874023,True,False,False
0,6,12.0,edge_0000,129,0.55,-31.849305956552715,2.200660467147827,1.1130574941635132,2.8777873516082764,True,False,False
0,6,12.0,edge_0000,129,0.6,-31.799305956552715,2.248239755630493,1.16305673122406,2.8277881145477295,True,False,False
0,6,12.0,edge_0000,129,0.65,-31.749305956552718,2.2962210178375244,1.2130577564239502,2.77778697013855,True,False,False
0,6,12.0,edge_0000,129,0.7,-31.699305956552717,2.3337061405181885,1.2630568742752075,2.727787733078003,True,False,False
0,6,12.0,edge_0000,129,0.75,-31.649305956552716,2.3660149574279785,1.3130581378936768,2.6777865886688232,True,False,False
0,6,12.0,edge_0000,129,0.8,-31.599305956552715,2.389139413833618,1.3630573749542236,2.6277873516082764,True,False,False
0,6,12.0,edge_0000,129,0.85,-31.549305956552715,2.412263870239258,1.4130566120147705,2.5777883529663086,True,False,False
0,6,12.0,edge_0000,129,0.9,-31.499305956552718,2.435389518737793,1.4630577564239502,2.52778697013855,True,False,False
0,6,12.0,edge_0000,129,0.95,-31.449305956552717,2.4585139751434326,1.513056993484497,2.477787971496582,True,False,False
0,6,12.0,edge_0000,129,1.0,-31.399305956552716,2.4816393852233887,1.5630581378936768,2.4277865886688232,True,False,False
0,6,12.0,edge_0000,129,1.05,-31.349305956552715,2.5047638416290283,1.6130573749542236,2.3777875900268555,True,False,False
0,6,12.0,edge_0000,129,1.1,-31.299305956552715,2.527888536453247,1.6630566120147705,2.3277881145477295,True,False,False
0,6,12.0,edge_0000,129,1.15,-31.249305956552718,2.551107406616211,1.7130576372146606,2.277787208557129,True,False,False
0,6,12.0,edge_0000,129,1.2,-31.199305956552717,2.577413320541382,1.7630568742752075,2.227787971496582,True,False,False
0,6,12.0,edge_0000,129,1.25,-31.149305956552716,2.620594024658203,1.8130581378936768,2.1777868270874023,True,False,False
0,6,12.0,edge_0000,129,1.3,-31.099305956552715,2.6654975414276123,1.8630573749542236,2.1277875900268555,True,False,False
0,6,12.0,edge_0000,129,1.35,-31.049305956552715,2.6781046390533447,1.9130566120147705,2.0777881145477295,True,False,False
0,6,12.0,edge_0000,129,1.4,-30.999305956552718,2.652254343032837,1.9630577564239502,2.027787208557129,True,False,False
0,6,12.0,edge_0000,129,1.45,-30.949305956552717,2.6306545734405518,2.013056993484497,1.9777878522872925,True,False,False
0,6,12.0,edge_0000,129,1.5,-30.899305956552716,2.6124894618988037,2.0630581378936768,1.9277868270874023,True,False,False
0,6,12.0,edge_0000,129,1.55,-30.849305956552715,2.6037845611572266,2.1130573749542236,1.877787470817566,True,False,False
0,6,12.0,edge_0000,129,1.6,-30.799305956552715,2.60032057762146,2.1630566120147705,1.827788233757019,True,False,False
0,6,12.0,edge_0000,129,1.65,-30.749305956552718,2.5995004177093506,2.21305775642395,1.7777870893478394,True,False,False
0,6,12.0,edge_0000,129,1.7,-30.699305956552717,2.600074529647827,2.263056993484497,1.7277878522872925,True,False,False
0,6,12.0,edge_0000,129,1.75,-30.649305956552716,2.596750020980835,2.3130581378936768,1.6777868270874023,True,False,False
0,6,12.0,edge_0000,129,1.8,-30.599305956552715,2.597994327545166,2.3630573749542236,1.6277875900268555,True,False,False
0,6,12.0,edge_0000,129,1.85,-30.549305956552715,2.598639965057373,2.4130566120147705,1.5777883529663086,True,False,False
0,6,12.0,edge_0000,129,1.9,-30.499305956552718,2.5954301357269287,2.463057518005371,1.527787208557129,True,False,False
0,6,12.0,edge_0000,129,1.95,-30.449305956552717,2.5974538326263428,2.513056755065918,1.477787971496582,True,False,False
0,6,12.0,edge_0000,129,2.0,-30.399305956552716,2.598273515701294,2.5630581378936768,1.4277868270874023,True,False,False
1,39,78.0,edge_0009,129,-1.0,-30.142909622432516,1.018869161605835,inf,0.0897117331624031,False,False,False
1,39,78.0,edge_0009,129,-0.95,-30.092909622432515,0.1388675570487976,inf,0.03971058875322342,False,False,False
1,39,78.0,edge_0009,129,-0.9,-30.042909622432514,0.03597929701209068,0.010288646444678307,5.743175983428955,True,False,False
1,39,78.0,edge_0009,129,-0.85,-29.992909622432517,0.21082615852355957,0.06028788536787033,5.693176746368408,True,False,False
1,39,78.0,edge_0009,129,-0.8,-29.942909622432516,0.29120761156082153,0.11028902232646942,5.64317512512207,True,False,False
1,39,78.0,edge_0009,129,-0.75,-29.892909622432516,0.34318313002586365,0.1602882742881775,5.593176364898682,True,False,False
1,39,78.0,edge_0009,129,-0.7,-29.842909622432515,0.3591441512107849,0.21028941869735718,5.543175220489502,True,False,False
1,39,78.0,edge_0009,129,-0.65,-29.792909622432514,0.3733614981174469,0.26028865575790405,5.493175983428955,True,False,False
1,39,78.0,edge_0009,129,-0.6,-29.742909622432517,0.38883790373802185,0.3102878928184509,5.443176746368408,True,False,False
1,39,78.0,edge_0009,129,-0.55,-29.692909622432516,0.4042225778102875,0.3602890074253082,5.39317512512207,True,False,False
1,39,78.0,edge_0009,129,-0.5,-29.642909622432516,0.4195307195186615,0.4102882444858551,5.343176364898682,True,False,False
1,39,78.0,edge_0009,129,-0.45,-29.592909622432515,0.43477973341941833,0.4602893888950348,5.293175220489502,True,False,False
1,39,78.0,edge_0009,129,-0.4,-29.542909622432514,0.4499838948249817,0.5102885961532593,5.243175983428955,True,False,False
1,39,78.0,edge_0009,129,-0.35,-29.492909622432517,0.465159147977829,0.5602878928184509,5.193176746368408,True,False,False
1,39,78.0,edge_0009,129,-0.3,-29.442909622432516,0.48149529099464417,0.6102890372276306,5.14317512512207,True,False,False
1,39,78.0,edge_0009,129,-0.25,-29.392909622432516,0.4966132640838623,0.6602883338928223,5.093176364898682,True,False,False
1,39,78.0,edge_0009,129,-0.2,-29.342909622432515,0.512868344783783,0.7102894186973572,5.043174743652344,True,False,False
1,39,78.0,edge_0009,129,-0.15,-29.292909622432514,0.5279707908630371,0.760288655757904,4.993175506591797,True,False,False
1,39,78.0,edge_0009,129,-0.1,-29.242909622432517,0.5543640851974487,0.8102878928184509,4.94317626953125,True,False,False
1,39,78.0,edge_0009,129,-0.05,-29.192909622432516,0.6033114790916443,0.8602890372276306,4.89317512512207,True,False,False
1,39,78.0,edge_0009,129,0.0,-29.142909622432516,0.7216846346855164,0.9102882742881775,4.843175888061523,True,False,False
