metric,predecessor,spatial,delta
node_precision,0.9050279329608939,0.9565217391304348,0.05149380616954091
node_recall,0.5912408759124088,0.7226277372262774,0.13138686131386856
node_f1,0.7152317880794702,0.8232848232848233,0.10805303520535314
edge_precision,0.25,1.0,0.75
edge_recall,0.07692307692307693,0.15384615384615385,0.07692307692307693
edge_f1,0.11764705882352941,0.2666666666666667,0.1490196078431373
node_edge_macro_f1,0.4164394234514998,0.5449757449757451,0.12853632152424527
