threshold,region,selection,tp,fp,fn,ignored,output_count,precision,recall,f1
1.4922133109664706e-16,fixed,after,12,155,0,236,403,0.0718562874251497,1.0,0.1340782122905028
1.8523206334643678e-16,old,before,12,152,0,312,476,0.07317073170731707,1.0,0.13636363636363635
1.8523206334643678e-16,old,after,12,140,0,250,402,0.07894736842105263,1.0,0.14634146341463414
1.8523206334643678e-16,fixed,before,12,168,0,296,476,0.06666666666666667,1.0,0.125
1.8523206334643678e-16,fixed,after,12,155,0,235,402,0.0718562874251497,1.0,0.1340782122905028
1.9824799513042e-16,old,before,12,151,0,312,475,0.0736196319018405,1.0,0.13714285714285715
1.9824799513042e-16,old,after,12,139,0,250,401,0.07947019867549669,1.0,0.147239263803681
1.9824799513042e-16,fixed,before,12,167,0,296,475,0.0670391061452514,1.0,0.1256544502617801
1.9824799513042e-16,fixed,after,12,154,0,235,401,0.07228915662650602,1.0,0.1348314606741573
2.1470419093434594e-16,old,before,12,151,0,311,474,0.0736196319018405,1.0,0.13714285714285715
2.1470419093434594e-16,old,after,12,139,0,249,400,0.07947019867549669,1.0,0.147239263803681
2.1470419093434594e-16,fixed,before,12,167,0,295,474,0.0670391061452514,1.0,0.1256544502617801
2.1470419093434594e-16,fixed,after,12,154,0,234,400,0.07228915662650602,1.0,0.1348314606741573
2.818274227186314e-16,old,before,12,151,0,310,473,0.0736196319018405,1.0,0.13714285714285715
2.818274227186314e-16,old,after,12,139,0,248,399,0.07947019867549669,1.0,0.147239263803681
2.818274227186314e-16,fixed,before,12,167,0,294,473,0.0670391061452514,1.0,0.1256544502617801
2.818274227186314e-16,fixed,after,12,154,0,233,399,0.07228915662650602,1.0,0.1348314606741573
2.992938508959459e-16,old,before,12,151,0,309,472,0.0736196319018405,1.0,0.13714285714285715
2.992938508959459e-16,old,after,12,139,0,247,398,0.07947019867549669,1.0,0.147239263803681
2.992938508959459e-16,fixed,before,12,167,0,293,472,0.0670391061452514,1.0,0.1256544502617801
2.992938508959459e-16,fixed,after,12,154,0,232,398,0.07228915662650602,1.0,0.1348314606741573
3.847483314966925e-16,old,before,12,151,0,308,471,0.0736196319018405,1.0,0.13714285714285715
3.847483314966925e-16,old,after,12,139,0,247,398,0.07947019867549669,1.0,0.147239263803681
3.847483314966925e-16,fixed,before,12,167,0,292,471,0.0670391061452514,1.0,0.1256544502617801
3.847483314966925e-16,fixed,after,12,154,0,232,398,0.07228915662650602,1.0,0.1348314606741573
4.480934522290889e-16,old,before,12,151,0,307,470,0.0736196319018405,1.0,0.13714285714285715
4.480934522290889e-16,old,after,12,139,0,246,397,0.07947019867549669,1.0,0.147239263803681
4.480934522290889e-16,fixed,before,12,167,0,291,470,0.0670391061452514,1.0,0.1256544502617801
4.480934522290889e-16,fixed,after,12,154,0,231,397,0.07228915662650602,1.0,0.1348314606741573
4.906441523344087e-16,old,before,12,151,0,306,469,0.0736196319018405,1.0,0.13714285714285715
4.906441523344087e-16,old,after,12,139,0,246,397,0.07947019867549669,1.0,0.147239263803681
4.906441523344087e-16,fixed,before,12,167,0,290,469,0.0670391061452514,1.0,0.1256544502617801
4.906441523344087e-16,fixed,after,12,154,0,231,397,0.07228915662650602,1.0,0.1348314606741573
5.205416095758477e-16,old,before,12,151,0,305,468,0.0736196319018405,1.0,0.13714285714285715
5.205416095758477e-16,old,after,12,139,0,245,396,0.07947019867549669,1.0,0.147239263803681
5.205416095758477e-16,fixed,before,12,167,0,289,468,0.0670391061452514,1.0,0.1256544502617801
5.205416095758477e-16,fixed,after,12,154,0,230,396,0.07228915662650602,1.0,0.1348314606741573
5.725870725638554e-16,old,before,12,151,0,304,467,0.0736196319018405,1.0,0.13714285714285715
5.725870725638554e-16,old,after,12,139,0,244,395,0.07947019867549669,1.0,0.147239263803681
