split,target_count,observations,phase_p50,phase_p90,gap_p50,gap_p90,oracle_phase_exact10,oracle_gaps_exact10
c07,1,900,4.474891036748886,16.79321959018707,0.0,0.0,1.0,0.77
c07,2,17533,3.27341091632843,175.00721517801284,1.3058488070964813,4.441764064878226,0.9925854103690184,0.8618034563394741
c07,3,2922,71.79086880385876,162.7071188390255,40.04884886244933,51.334050273895265,0.0,0.1054072553045859
c07,4,193,48.84081166982651,155.33849143981934,43.84656371176243,47.992593145370485,0.0,0.22279792746113988
c08,1,1074,4.999950274825096,19.514474376291037,0.0,0.0,1.0,0.7374301675977654
c08,2,19728,3.577766478061676,172.7784063756466,1.6529370546340942,4.938301853835583,0.9938665855636658,0.843521897810219
c08,3,3361,86.54861721396446,164.6665123552084,38.27111558119456,51.777599354585014,0.0,0.12198750371913121
c08,4,231,54.220690827816725,150.63501232862473,36.05695906281471,59.25933429598808,0.0,0.09523809523809523
