seed,partition,adjacent_pairs,correct,proposed,possible,precision,recall,exact_pair_fraction
0,fit,130080,268688,273187,271446,0.9835314271908986,0.9898395997730672,0.976960332103321
0,selection,41970,86636,88234,87617,0.9818890677063263,0.9888035426914868,0.9746485584941625
1,fit,130080,268833,273187,271446,0.9840621991529611,0.9903737759996464,0.9773985239852399
1,selection,41970,86780,88234,87617,0.9835210916426774,0.9904470593606264,0.9761496306885871
2,fit,130080,269078,273187,271446,0.9849590207440325,0.9912763496238662,0.9783517835178351
2,selection,41970,86885,88234,87617,0.9847111090962667,0.991645456931874,0.9771979985704075
