partition,mode,nodes,node_precision,node_recall,node_f1,edges,edge_precision,edge_recall,edge_f1,macro_f1
fit,support2_endpoint,673,0.9791976225854383,0.8320707070707071,0.8996587030716724,18,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.7276071293136139
fit,factorized_hybrid,667,0.9805097451274363,0.8257575757575758,0.8965044551062372,18,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.7260300053308963
selection,support2_endpoint,217,0.9907834101382489,0.7846715328467153,0.8757637474541751,4,1.0,0.3076923076923077,0.47058823529411764,0.6731759913741464
selection,factorized_hybrid,212,1.0,0.7737226277372263,0.8724279835390947,4,1.0,0.3076923076923077,0.47058823529411764,0.6715081094166062
