seed,epoch,train_total_loss,validation_total_loss,event_macro_f1,axis_mean_error_deg,association_top1_precision,width_mae_m,height_mae_m,slope_mae_deg,curvature_mae_per_m
0,1,4.434981574881722,3.0514056447452655,0.5674338035440815,11.65034008026123,0.9627445339470656,1.3511947913589935,0.4790923261632618,3.1861074446228344,0.0056691921034581275
0,2,2.569477264015202,2.968003471385389,0.5733649423181894,8.534510612487793,0.9697928653624857,1.1590190077605187,0.4329638010304024,3.152724779965043,0.005620144655441148
0,3,2.5017140389316337,2.652154574954844,0.5974582030290524,7.936936855316162,0.9710874568469505,1.14357670067216,0.4105382088609447,3.2173807457456136,0.00511721657274906
0,4,2.3563953961399173,2.409155434774033,0.6033770655624102,7.124879360198975,0.9739643268124281,1.1358804602413441,0.49560955670142093,3.1232645912597694,0.005431382994154334
0,5,2.1790765767809055,2.287167149142324,0.5980379996040586,7.00316047668457,0.9738204833141542,0.9812167530284116,0.38739399548926645,3.017071468268126,0.004685128760833926
0,6,2.015040843368455,2.236089247483165,0.5521911659365116,6.809595108032227,0.9739643268124281,0.9706241321189885,0.4041757695768847,3.060707624365406,0.004862227240247939
0,7,1.9203983987726667,2.0943478874861583,0.623356564976392,6.433444023132324,0.9726697353279632,0.9169137459281353,0.3910037633141513,3.0120097832379167,0.004696877573519109
0,8,1.822967188131682,2.0716149473305316,0.6231587953217453,6.052281379699707,0.97885500575374,0.9582667511124844,0.46428126482120463,3.0589264766845004,0.005593401369299213
0,9,1.7604093143462136,2.0469440102928083,0.5856203705971834,6.007725715637207,0.9751150747986191,0.8928550957895589,0.4199434696336813,3.016494315893357,0.004948206928762486
0,10,1.6882363773664804,2.054848113835623,0.6417104553615949,5.988020420074463,0.9774165707710012,0.825912941581863,0.3719268243977378,2.992285999718832,0.004583174276430875
0,11,1.621336861382376,2.0395829804529786,0.6441572136785839,6.1284966468811035,0.9739643268124281,0.8320952133515557,0.36276248965726726,3.000884734368872,0.004665178849631617
0,12,1.5799188903699328,1.9400251280081144,0.6302581285819865,6.139093399047852,0.977560414269275,0.782044600889514,0.40892043100919384,3.0066692251555227,0.004455474937900715
0,13,1.5444671759461515,2.055582472483902,0.6393965242812287,5.839909076690674,0.9751150747986191,0.8395251853947593,0.3706791622161078,2.987286302661498,0.004772305883319172
0,14,1.515136237932144,2.021747473888352,0.6112049756397949,5.878143787384033,0.9787111622554661,0.9498124292813209,0.38133790583027155,2.963699217312822,0.004628189586699326
0,15,1.468296073823155,1.985973587757178,0.6474338277451777,5.54058313369751,0.9778481012658228,0.8196758537064244,0.36295055486208044,3.0045678184970246,0.004389361053883089
0,16,1.4264374774572715,1.896750227441656,0.6191063306784612,5.662628650665283,0.9797180667433832,0.8861642900879713,0.38144689103070056,2.978264377080315,0.005163762353859552
0,17,1.4066271924322264,1.8763223318756967,0.6211293737964296,5.864882946014404,0.9784234752589183,0.7757375461774337,0.36167692165166193,2.951246122650753,0.0044245297527354165
0,18,1.3665632372553216,2.012000523319366,0.6287653413067561,5.403071403503418,0.97885500575374,0.8312462311074343,0.3582297473291232,2.9980722005852067,0.004537944829129654
0,19,1.3402246282985986,1.8297025945612342,0.6390468856717497,5.269676685333252,0.9797180667433832,0.771360358538666,0.3788005154379279,2.946166235860064,0.0043788757709741066
0,20,1.3029125127020373,1.7935836048686058,0.6127977583032839,5.228997230529785,0.97885500575374,0.7373076360004819,0.37688613700355134,2.9395898867780135,0.004443553523448724
0,21,1.301597602388591,1.8749420411763562,0.6427766878575307,5.417852878570557,0.9795742232451093,0.7596299185023889,0.36225553850599335,2.9455102220812392,0.004367816736707702
0,22,1.273288240638415,1.89506294519043,0.6339771700959808,5.364454746246338,0.979861910241657,0.7569389340113629,0.37250155210249053,2.97377434241568,0.004412920923368899
0,23,1.2731597274695519,1.8950444056849167,0.6351511374612853,5.257176399230957,0.9792865362485615,0.7826192366700578,0.3638250256902979,2.9060494094884812,0.004310164436443333
0,24,1.206872020335825,1.7861656203589449,0.6291823401916896,5.2088799476623535,0.9792865362485615,0.7690084183120177,0.37669535503698326,2.9035173365767846,0.004352048866060318
0,25,1.1737735773921907,1.8326283568314896,0.6501088414015463,5.161727428436279,0.979861910241657,0.7158532494241389,0.3586669923842556,2.906861917238264,0.004385241818475797
0,26,1.189822107705879,1.8169253495413795,0.6059386918167682,5.195949554443359,0.9792865362485615,0.7468867494564635,0.3587192438596643,2.890714023637807,0.004230429826290763
0,27,1.169811790644975,1.9281122628070964,0.6461552878760075,5.182292938232422,0.97885500575374,0.7187688958553867,0.3631187737246309,2.8830694236502743,0.004421667295225058
0,28,1.149499867170732,1.9660641593707378,0.6672833249249791,5.054078578948975,0.9795742232451093,0.7197640423925237,0.3596093414492378,2.8680882741244913,0.004305053456330005
0,29,1.1112842633212134,1.8376133481057197,0.6434218077621171,5.374316692352295,0.9785673187571922,0.7190081785063117,0.369234866910997,2.8622917731700452,0.004550657424457172
0,30,1.0299729300643687,1.8430820892174102,0.6736765526645491,5.102033615112305,0.9784234752589183,0.6964088102308824,0.3766126074298082,2.833931556210749,0.004299871677121764
1,1,4.379035153564934,2.9714806322552043,0.5783867866969864,11.294075965881348,0.9630322209436134,1.3439130105848334,0.4803320285583836,3.1417954511707173,0.0053137351790225745
1,2,2.774614387584795,2.8307285510054125,0.5956053426654135,8.082112312316895,0.9699367088607594,1.161562830958633,0.47563027818104103,3.066359402610786,0.004936687339454531
1,3,2.4699303498065404,2.794171882405732,0.5813013817480991,8.35342788696289,0.9703682393555811,1.2700585288363977,0.4985136018331601,3.101116123344491,0.00510108766174406
1,4,2.266613180352868,2.3354803659122365,0.5800648280099416,7.660982608795166,0.974108170310702,1.1296137991358821,0.4508596203463432,3.0562742865004706,0.005021020042741302
1,5,2.115185387774835,2.2993741757822352,0.636915828206924,7.145348072052002,0.9771288837744534,1.0590346498294592,0.4536812843085073,3.0524413042003764,0.004800048043722807
1,6,1.9474179899886563,2.316509271572504,0.5912931385588485,7.201718330383301,0.9739643268124281,0.9710151026217942,0.40681154838610806,3.0838992181446887,0.004997406571228753
1,7,1.847511994239012,2.2308686346378517,0.5885401062245548,7.1507568359375,0.9755466052934407,1.020272892313887,0.5074347996382166,3.0443794949740286,0.004990896469422368
1,8,1.8358104521334795,2.0847035636789575,0.6180318663984398,6.180381774902344,0.9759781357882624,1.082285345355727,0.522542735564726,3.0487222531939087,0.004750452445934647
1,9,1.7768892626787838,2.0738252611632397,0.5780780537178242,6.573775291442871,0.9765535097813579,1.0109253952816537,0.3906025028091031,3.0058366851769214,0.0046882871253620464
1,10,1.7081157867309638,2.146338251808387,0.6513212298099469,5.796534538269043,0.9787111622554661,0.9056035331630058,0.4105822679453937,3.0555113857214082,0.00475644113197612
