section,identity,residual_scale,worst_parent_relative_improvement,mean_parent_relative_improvement,raw_relative_improvement,risk_calibrated_relative_improvement
selection_curve,C07-C08,0.0,0.0,0.0,,
selection_curve,C07-C08,0.01,0.004477735306347842,0.007551679010440769,,
selection_curve,C07-C08,0.02,0.008945964678964332,0.015093680756814531,,
selection_curve,C07-C08,0.03,0.013398868631589539,0.022624201322718935,,
selection_curve,C07-C08,0.04,0.017842939021405855,0.03014334972113007,,
selection_curve,C07-C08,0.05,0.022278871404539963,0.037644526866498454,,
selection_curve,C07-C08,0.06,0.02670613252129474,0.04513121418693783,,
selection_curve,C07-C08,0.07,0.031112202361389868,0.05260493059057092,,
selection_curve,C07-C08,0.08,0.03550352641159928,0.060067323090074044,,
selection_curve,C07-C08,0.09,0.03987975689385964,0.06751444459341575,,
selection_curve,C07-C08,0.1,0.04422999676218623,0.0749435121285874,,
selection_curve,C07-C08,0.11,0.04855137105125542,0.08235465888832051,,
selection_curve,C07-C08,0.12,0.05284105116615201,0.08974757677042558,,
selection_curve,C07-C08,0.13,0.057107847484480695,0.09712291357245927,,
selection_curve,C07-C08,0.14,0.0613566752695367,0.1044806412519587,,
selection_curve,C07-C08,0.15,0.06559574208361489,0.11181992051081782,,
selection_curve,C07-C08,0.16,0.06981505510369525,0.11914293224474,,
selection_curve,C07-C08,0.17,0.0740192281854181,0.12644911786882548,,
selection_curve,C07-C08,0.18,0.07820554865988939,0.13373558183370537,,
selection_curve,C07-C08,0.19,0.08237227763679242,0.14100152861261045,,
selection_curve,C07-C08,0.2,0.08651677200284576,0.1482439378255077,,
selection_curve,C07-C08,0.21,0.0906416748713308,0.1554684819332802,,
selection_curve,C07-C08,0.22,0.09474805276164183,0.16267398243325476,,
selection_curve,C07-C08,0.23,0.09882899648292044,0.16985986636739642,,
selection_curve,C07-C08,0.24,0.10289218033776437,0.17702752109440537,,
selection_curve,C07-C08,0.25,0.10693579588024425,0.18417695946437304,,
selection_curve,C07-C08,0.26,0.11095645807054354,0.19130668966733116,,
selection_curve,C07-C08,0.27,0.11496397425004849,0.19842097527226737,,
selection_curve,C07-C08,0.28,0.11895753293661131,0.20551711764697805,,
selection_curve,C07-C08,0.29,0.12293481560980972,0.21259447906216122,,
selection_curve,C07-C08,0.3,0.12689009552420066,0.2196511924612743,,
selection_curve,C07-C08,0.31,0.13083299453953665,0.22668830268453505,,
selection_curve,C07-C08,0.32,0.13475845828129704,0.23370397590709469,,
selection_curve,C07-C08,0.33,0.1386675068984677,0.2406973359489845,,
selection_curve,C07-C08,0.34,0.142563409504844,0.24766965165758092,,
selection_curve,C07-C08,0.35,0.14644574876675,0.254613353565884,,
selection_curve,C07-C08,0.36,0.1503171446122628,0.2615305815865553,,
selection_curve,C07-C08,0.37,0.15417446703881238,0.2684196665686496,,
selection_curve,C07-C08,0.38,0.15801576848924398,0.2752841972726379,,
selection_curve,C07-C08,0.39,0.16184543096715573,0.28212411676389787,,
selection_curve,C07-C08,0.4,0.16565200098166155,0.2889367634797213,,
selection_curve,C07-C08,0.41,0.1694313283812056,0.2957205301692883,,
selection_curve,C07-C08,0.42,0.17317636486370405,0.30247318551061597,,
selection_curve,C07-C08,0.43,0.17689633814043762,0.30920049845872444,,
selection_curve,C07-C08,0.44,0.18059231473080062,0.3159016422261315,,
selection_curve,C07-C08,0.45,0.18426686819246174,0.3225731354759068,,
selection_curve,C07-C08,0.46,0.18790810451565473,0.32921519511039166,,
selection_curve,C07-C08,0.47,0.19151780896110462,0.33582813275552936,,
selection_curve,C07-C08,0.48,0.19510803783500738,0.34241008413435015,,
