partition,junction_support,node_precision,node_recall,node_f1,edge_precision,edge_recall,edge_f1,macro_f1
fit,1,0.947075208913649,0.8585858585858586,0.9006622516556292,0.6818181818181818,0.4166666666666667,0.5172413793103449,0.708951815482987
fit,2,0.966275659824047,0.8320707070707071,0.8941655359565808,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.7102406627151325
fit,3,0.9982638888888888,0.726010101010101,0.8406432748538011,1.0,0.3333333333333333,0.5,0.6703216374269005
fit,4,1.0,0.4532828282828283,0.6238053866203301,1.0,0.027777777777777776,0.05405405405405406,0.3389297203371921
selection,1,0.9529914529914529,0.8138686131386861,0.8779527559055117,1.0,0.3076923076923077,0.47058823529411764,0.6742704955998147
selection,2,0.9684684684684685,0.7846715328467153,0.8669354838709679,1.0,0.3076923076923077,0.47058823529411764,0.6687618595825428
selection,3,1.0,0.6824817518248175,0.8112798264642082,1.0,0.23076923076923078,0.375,0.593139913232104
selection,4,1.0,0.4343065693430657,0.6055979643765904,0.0,0.0,0.0,0.3027989821882952
