split,decoder,cardinality,exact_set_fraction_2deg,exact_set_fraction_10deg,min_gap_ratio_median,collapse_fraction,cyclic_optimal_fraction
C07,seed0,3,0.00034223134839151266,0.03627652292950034,0.8540776210200296,0.2631990614000782,0.8244035979663669
C07,seed0,4,0.0,0.0,nan,nan,nan
C07,seed1,3,0.00034223134839151266,0.04996577686516085,0.7975033770148443,0.2697768762677485,0.7338742393509128
C07,seed1,4,0.0,0.0,0.31012010545073615,0.6466165413533834,0.5639097744360902
C07,seed2,3,0.004106776180698152,0.2919233401779603,1.0395064343396303,0.028085443037974684,0.9920886075949367
C07,seed2,4,0.0,0.05181347150259067,0.9227961757516376,0.13414634146341464,0.9390243902439024
C07,cyclic_ensemble,3,0.0023956194387405884,0.10438056125941136,0.9329350647320899,0.17844591956267083,0.9402577118313159
C07,cyclic_ensemble,4,0.0,0.0,0.7645361054755744,0.25757575757575757,0.8863636363636364
C07,unrestricted_ensemble,3,0.003080082135523614,0.12799452429842573,1.0084707186940225,0.04139008199921906,0.8215540804373291
C07,unrestricted_ensemble,4,0.0,0.015544041450777202,0.8632982837167533,0.09848484848484848,0.7196969696969697
C08,seed0,3,0.0008925914906277894,0.044034513537637605,0.8511105507927703,0.21915820029027577,0.8479680696661829
C08,seed0,4,0.0,0.0,nan,nan,nan
C08,seed1,3,0.0005950609937518596,0.03867896459387087,0.7809334444150582,0.29296591733139954,0.7541696881798404
C08,seed1,4,0.0,0.0,0.45695642147433646,0.5206611570247934,0.5702479338842975
C08,seed2,3,0.005653079440642666,0.2856292770008926,1.0209767288434317,0.024390243902439025,0.9954703832752613
C08,seed2,4,0.0,0.030303030303030304,0.923632409128802,0.0979020979020979,0.972027972027972
C08,cyclic_ensemble,3,0.0017851829812555787,0.10830110086283844,0.9304725376906048,0.17338995046001415,0.943029016277424
C08,cyclic_ensemble,4,0.004329004329004329,0.025974025974025976,1.0326127914859076,0.23853211009174313,0.944954128440367
C08,unrestricted_ensemble,3,0.0035703659625111574,0.13359119309729248,1.001986922617843,0.03573956121726822,0.8481953290870489
C08,unrestricted_ensemble,4,0.004329004329004329,0.025974025974025976,1.0557671496915897,0.12844036697247707,0.8256880733944955
