partition,identity,event,support_bin,route_stop_score,forward,backward,lateral
fit,S01_flat_tree_small_C04:node:node_0010,junction,31+,0.7701951728130615,0.08723958333333333,1.264246369401614,0.17139994694540897
fit,S01_flat_tree_small_C04:node:node_0015,terminal,1-3,0.808223568069931,0.054616292317708336,1.1340087639788787,0.16257720456148186
fit,S02_3d_tree_small_C02:node:node_0009,terminal,4-10,0.8395264222966952,0.0,1.1719926198323567,0.2201837201913198
fit,S02_3d_tree_small_C02:node:node_0011,junction,31+,0.4898794409067369,0.3440024058024089,1.9548546473185222,1.0786999464035034
fit,S02_3d_tree_small_C05:node:node_0019,terminal,4-10,0.687392285692213,0.0,0.908405582110087,0.4304095009962718
fit,S02_3d_tree_small_C05:node:node_0021,junction,31+,0.3127823446128048,0.8318383693695068,1.7800546487172444,0.42714646458625793
fit,S02_3d_tree_small_C06:node:node_0044,junction,31+,0.38015984920521007,0.19800662994384766,1.5635321935017903,1.8535629113515217
fit,S02_3d_tree_small_C06:node:node_0048,terminal,4-10,0.8274336268854444,0.0,1.168723168472449,0.22927064603815475
fit,S03_flat_unicyclic_small_C01:node:node_0025,junction,31+,0.3589829003084459,0.2133267124493917,0.9835084279378256,0.8805054823557535
fit,S03_flat_unicyclic_small_C01:node:node_0031,terminal,4-10,0.7600765644055475,0.0,0.9476302663485209,0.3201185663541158
fit,S03_flat_unicyclic_small_C03:node:node_0039,junction,31+,0.2605957524687194,0.45381561915079754,1.3311626116434734,1.8292117913564045
fit,S03_flat_unicyclic_small_C03:node:node_0040,terminal,11-30,0.9600275060561286,0.0,0.954497774442037,0.04008518407742182
fit,S04_3d_unicyclic_small_C02:node:node_0001,terminal,4-10,0.8211654753945021,0.01982847849527995,1.1532168885072072,0.16647079835335413
fit,S04_3d_unicyclic_small_C02:node:node_0002,terminal,1-3,0.4454543248139693,0.3301995595296224,1.1406460007031758,0.33438636362552643
fit,S04_3d_unicyclic_small_C02:node:node_0012,junction,31+,0.26651845152126885,0.8523775736490885,1.6382586161295574,0.4358660839498043
fit,S04_3d_unicyclic_small_C02:node:node_0017,junction,31+,0.38827803077999207,0.19078882535298666,1.6189069747924805,1.918442929784457
fit,S04_3d_unicyclic_small_C05:node:node_0029,terminal,1-3,0.5619717422721654,0.2895425160725911,1.5516782502333324,0.37481326369258267
fit,S04_3d_unicyclic_small_C05:node:node_0031,junction,31+,0.4530162298142251,0.4558238983154297,1.6523874799410503,0.49604350328445435
fit,S04_3d_unicyclic_small_C06:node:node_0062,terminal,1-3,0.7018830398469774,0.12180471420288086,1.4404990474383037,0.2264121174812317
fit,S04_3d_unicyclic_small_C06:node:node_0063,junction,31+,0.33355951852982463,0.2738948365052541,1.3813342054684956,1.8752260754505794
fit,S05_flat_branch_medium_C02:node:node_0077,junction,31+,0.4946145211959269,0.09288644790649414,1.5601636270682018,1.2256174484888713
fit,S05_flat_branch_medium_C02:node:node_0083,terminal,1-3,0.7290687461923535,0.0,1.6630516164004803,0.6117145344614983
fit,S05_flat_branch_medium_C04:node:node_0055,junction,31+,0.36802213646374665,0.22596045831839243,1.8974029223124187,2.3644514878590903
fit,S05_flat_branch_medium_C04:node:node_0061,terminal,4-10,0.7582363439931322,0.0,1.1948120074036221,0.3790783879036705
fit,S05_flat_branch_medium_C06:node:node_0003,terminal,11-30,0.9562968615849838,0.0,1.1862234274546306,0.051640364030996956
fit,S05_flat_branch_medium_C06:node:node_0005,junction,31+,0.2791809580311348,0.7507073084513346,1.8738942941029866,1.1439634958902996
fit,S06_3d_branch_medium_C01:node:node_0069,junction,31+,0.3680819982825552,0.7331670125325521,1.9306856791178386,0.5609592894713084
fit,S06_3d_branch_medium_C01:node:node_0076,terminal,11-30,0.7669353091469343,0.04330734411875407,1.200294070256253,0.19618272649434707
fit,S06_3d_branch_medium_C03:node:node_0050,junction,31+,0.5093018066831981,0.42107709248860675,1.8348652521769206,0.5014343174795309
fit,S06_3d_branch_medium_C03:node:node_0059,terminal,11-30,0.9292362186827433,0.0,1.171323537826538,0.07935681442419688
fit,S07_flat_loop_rich_C02:node:node_0105,junction,31+,0.25426809557736724,0.7511008580525717,1.7152833938598633,1.518473873535792
fit,S07_flat_loop_rich_C02:node:node_0123,terminal,11-30,0.8305305871031874,0.0,0.7153498033682505,0.12296302616596222
fit,S07_flat_loop_rich_C03:node:node_0097,junction,31+,0.39099996507684304,0.07601038614908855,0.9400363365809122,0.9006840934356054
