partition,event,rows,complete_teacher_rows,identity_count,supported_identity_count,identity_support_coverage,mean_supported_bins,rows_with_at_least_three_bins
fit,turn,1482,1,297,64,0.21548821548821548,1.5472334682860998,119
fit,geometry_transition,791,0,59,45,0.7627118644067796,1.8938053097345133,160
selection,turn,516,1,95,28,0.29473684210526313,1.695736434108527,70
selection,geometry_transition,240,0,17,10,0.5882352941176471,1.8541666666666667,44
