check,passed
exact_population,1
all_history_past_only,1
parameter_count_exact_240101,1
token_permutation_invariant,1
seed_permutation_invariant,1
masked_history_invariant,1
deterministic_replay_bit_exact,1
transport_normalized_and_nontrivial,1
real_batch_finite_backward,1
typed_refusal_interface,1
zero_forbidden_operations,1
