source,component,fit_mae,selection_mae
seed0,width_m,0.9752139991994067,1.0053467922882293
seed0,height_m,0.3861538162742118,0.39675446452164836
seed0,slope_deg,0.5938236680822164,0.6294350375848557
seed0,curvature_per_m,0.0029143466597098973,0.0027919545275303308
seed1,width_m,1.0271217563733543,1.0521081037852367
seed1,height_m,0.3891681100251711,0.3962083103756408
seed1,slope_deg,0.5372306824305846,0.5633898834718665
seed1,curvature_per_m,0.002969314825293064,0.0028459771754417197
seed2,width_m,0.9745154115997029,1.0084977134447055
seed2,height_m,0.3904158627738467,0.39869612304547564
seed2,slope_deg,0.5304803266225235,0.5546338009094923
seed2,curvature_per_m,0.0028892597561192028,0.0027735769893431797
3-seed mean,width_m,0.9610924411432069,0.9886178296416595
3-seed mean,height_m,0.37789221449467336,0.3856733150120169
3-seed mean,slope_deg,0.4336318042499119,0.4618142828658655
3-seed mean,curvature_per_m,0.0027919316759030975,0.002659146246069328
