source,fit_auc,selection_auc,absolute_auc_gap,fit_positive,fit_negative,selection_positive,selection_negative
Teacher,0.7354384616725228,0.7420673010761567,0.0066288394036339016,791,77255,240,24222
seed0,0.6694012661534883,0.6444248341727906,0.024976431980697655,791,77255,240,24222
seed1,0.6765975649459435,0.6624038408609253,0.014193724085018178,791,77255,240,24222
seed2,0.6761402651226204,0.6609894070129084,0.015150858109711951,791,77255,240,24222
3-seed mean,0.6883953030914335,0.6802152141304049,0.00818008896102862,791,77255,240,24222
