source,fit_threshold,selection_corridor_false_positive_rate,selection_transition_recall,identity_covered,identity_total
Teacher,8.505936476061692,0.010486334737015936,0.004166666666666667,1,17
seed0,3.437364399433136,0.01056890430187433,0.0,0,17
seed1,3.0623388290405273,0.010899182561307902,0.0,0,17
seed2,3.2499960064888,0.010734043431591116,0.0,0,17
3-seed mean,3.1664538383483887,0.010651473866732722,0.0,0,17
