partition,identity,event,support_bin,nearest_opposite_distance_m,inside_50m,route_stop_score
fit,S10_3d_complex_C06:node:node_0077,junction,31+,18.83303030213412,True,0.2334801993007827
fit,S10_3d_complex_C06:node:node_0107,terminal,11-30,18.83303030213412,True,0.869281521698929
fit,S10_3d_complex_C06:node:node_0112,terminal,4-10,14.025942843183135,True,0.32844041630077364
fit,S10_3d_complex_C06:node:node_0123,junction,31+,15.532139656203436,True,0.49005722636696375
fit,S10_3d_complex_C06:node:node_0128,junction,31+,14.025942843183135,True,0.19048639622119057
fit,S10_3d_complex_C06:node:node_0142,terminal,4-10,15.532139656203436,True,0.829107458750376
selection,S01_flat_tree_small_C07:node:node_0003,terminal,11-30,17.266162687585958,True,0.8797655068841893
selection,S01_flat_tree_small_C07:node:node_0010,junction,31+,17.266162687585958,True,0.2977309810191097
selection,S01_flat_tree_small_C08:node:node_0015,junction,31+,,False,0.29483441719032616
selection,S01_flat_tree_small_C08:node:node_0027,junction,31+,,False,0.2590889674090477
selection,S04_3d_unicyclic_small_C07:node:node_0007,junction,31+,13.484155179346027,True,0.4463512607550775
selection,S04_3d_unicyclic_small_C07:node:node_0012,terminal,1-3,13.484155179346027,True,0.27501434137068265
selection,S05_flat_branch_medium_C08:node:node_0066,junction,31+,17.761813082845666,True,0.627914877478751
selection,S05_flat_branch_medium_C08:node:node_0070,terminal,11-30,17.761813082845666,True,0.7465869812995058
selection,S06_3d_branch_medium_C07:node:node_0065,junction,31+,22.52105698074404,True,0.31197756970610624
selection,S06_3d_branch_medium_C07:node:node_0073,terminal,11-30,22.52105698074404,True,0.8279368034943847
selection,S06_3d_branch_medium_C08:node:node_0036,terminal,11-30,24.875621755702024,True,0.9454722722786421
selection,S06_3d_branch_medium_C08:node:node_0044,junction,31+,24.875621755702024,True,0.24237342381819596
selection,S07_flat_loop_rich_C08:node:node_0040,terminal,1-3,11.659284441421644,True,0.7648367273422231
selection,S07_flat_loop_rich_C08:node:node_0043,junction,31+,11.659284441421644,True,0.6834926721802425
selection,S08_3d_loop_rich_C07:node:node_0012,junction,31+,25.870808510391974,True,0.2637999876351707
selection,S08_3d_loop_rich_C07:node:node_0014,terminal,11-30,25.870808510391974,True,0.9221574911957928
selection,S08_3d_loop_rich_C08:node:node_0037,junction,31+,20.89845791366239,True,0.38183899305127156
selection,S08_3d_loop_rich_C08:node:node_0053,terminal,11-30,20.89845791366239,True,0.902005105854427
selection,S10_3d_complex_C07:node:node_0022,terminal,11-30,21.885916429695634,True,0.659287778273926
selection,S10_3d_complex_C07:node:node_0028,junction,31+,21.885916429695634,True,0.3163295202481355
selection,S10_3d_complex_C07:node:node_0120,junction,31+,26.467522337045423,True,0.21149239635232883
selection,S10_3d_complex_C07:node:node_0144,terminal,11-30,26.467522337045423,True,0.9598371190873981
selection,S10_3d_complex_C08:node:node_0048,terminal,4-10,16.913064295897968,True,0.9188667940583155
selection,S10_3d_complex_C08:node:node_0052,junction,31+,16.913064295897968,True,0.3258544767464772
selection,S10_3d_complex_C08:node:node_0161,junction,31+,23.504075514922967,True,0.290908470341989
selection,S10_3d_complex_C08:node:node_0163,terminal,11-30,23.504075514922967,True,0.9714470157593992
