seed,sealed_precision,sealed_recall,sealed_f1,typed_oracle_recall,position_oracle_recall,second_depth_oracle_recall,candidate_average_precision,candidate_precision_at_recall0p25,slot0_false_positive,slot1_false_positive,one_per_bin_f1,teacher_cardinality_f1
0,0.13758559968694972,0.21215869663599335,0.16692184440092578,0.6746718962136069,0.7299743551063509,0.8227848101265823,0.06085126270298164,0.08150032710620048,44079,0,0.16692184440092578,0.25750490270025644
1,0.10335748064503451,0.23804495399004375,0.1441332821833726,0.6853522401568864,0.7179966812490571,0.8227848101265823,0.05590917609329213,0.06134585289514867,68447,0,0.1441332821833726,0.22706290541559812
2,0.12953086652822351,0.16560567204706592,0.14536354126666753,0.6190375622265801,0.666797405340172,0.6708860759493671,0.05117992864495513,0.06666926535173202,36887,0,0.14536354126666753,0.2310152360838739
