identity,row,structural_mass,junction_probability,terminal_probability,stage
S04_3d_unicyclic_small_C07:node:node_0012,40025,0.9557583928108215,0.9526732563972473,0.0030851615592837334,event_misclassified
S04_3d_unicyclic_small_C07:node:node_0012,40026,0.9886977672576904,0.9883615374565125,0.00033623140188865364,event_misclassified
S04_3d_unicyclic_small_C07:node:node_0012,40027,0.9864189624786377,0.9861667156219482,0.00025224938872270286,event_misclassified
S07_flat_loop_rich_C08:node:node_0040,100349,0.3632359206676483,0.0057937526144087315,0.357442170381546,proposal_missing
