partition,support_bin,endpoints,proposal_recall,commit_recall,qualified_recall,final_recall
fit,1-3,10,0.3,0.2,0.2,0.2
fit,4-10,13,0.6153846153846154,0.3076923076923077,0.3076923076923077,0.3076923076923077
fit,11-30,13,1.0,1.0,1.0,1.0
fit,31+,36,1.0,0.8611111111111112,0.6111111111111112,0.6111111111111112
selection,1-3,2,0.0,0.0,0.0,0.0
selection,4-10,1,1.0,0.0,0.0,0.0
selection,11-30,9,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.6666666666666666
selection,31+,14,0.9285714285714286,0.7142857142857143,0.5714285714285714,0.5714285714285714
