method,scorer,node_precision,node_recall,node_f1,edge_precision,edge_recall,edge_f1,macro_f1
scalar,legacy_exact_row,0.9050279329608939,0.5912408759124088,0.7152317880794702,0.25,0.07692307692307693,0.11764705882352941,0.4164394234514998
scalar,objective_3d,0.8547486033519553,0.5583941605839416,0.675496688741722,0.25,0.07692307692307693,0.11764705882352941,0.3965718737826257
spatial,legacy_exact_row,0.9565217391304348,0.7226277372262774,0.8232848232848233,1.0,0.15384615384615385,0.2666666666666667,0.5449757449757451
spatial,objective_3d,0.9516908212560387,0.718978102189781,0.8191268191268191,1.0,0.15384615384615385,0.2666666666666667,0.5428967428967428
