split,tolerance_deg,exit_precision,exit_recall,exact_set_fraction
C07,2.0,0.4462777103782949,0.44462025316455694,0.2503712641544459
C07,4.0,0.6579243410168744,0.6554808368495078,0.48932615555968073
C07,6.0,0.7377964045439506,0.735056258790436,0.5888713569704845
C07,8.0,0.7758905922576376,0.7730089662447257,0.6334694635232968
C07,10.0,0.7968015881769053,0.7938422995780591,0.6552812325969928
C07,15.0,0.8203154295797949,0.8172688115330521,0.6751438648598478
C07,20.0,0.8278813278923569,0.8248066104078763,0.6794134026359755
C08,2.0,0.4241856470909694,0.42171643673477305,0.22575223415593998
C08,4.0,0.6336046216601284,0.629916370762753,0.4563417233746003
C08,6.0,0.7271503015399028,0.7229175155713371,0.5767401820119702
C08,8.0,0.7709272595975565,0.7664396453033743,0.6306878740673936
C08,10.0,0.7920448113667857,0.7874342705240895,0.6520045912929409
C08,15.0,0.8170657922985343,0.8123096028096319,0.6702057883086004
C08,20.0,0.8256923707477019,0.8208859654229,0.6750430433713208
