seed,task,rows,topology_family,geometry_family,deployed_attachment_f1,proposal_oracle_attachment_f1
1,S03_flat_unicyclic_small_C07__rounded_rectangle.zarr,906,S03_flat_unicyclic_small,rounded_rectangle.zarr,0.043835860375216563,0.15116233176777044
1,S04_3d_unicyclic_small_C07__c1_mixed.zarr,1134,S04_3d_unicyclic_small,c1_mixed.zarr,0.09928596996929105,0.20522149564875364
1,S04_3d_unicyclic_small_C07__ellipse.zarr,1134,S04_3d_unicyclic_small,ellipse.zarr,0.015476335220305941,0.207195820694304
1,S04_3d_unicyclic_small_C07__rounded_rectangle.zarr,1134,S04_3d_unicyclic_small,rounded_rectangle.zarr,0.03564704005106111,0.18314398077343239
1,S05_flat_branch_medium_C07__c1_mixed.zarr,2068,S05_flat_branch_medium,c1_mixed.zarr,0.09357798165137615,0.22475024170157912
1,S05_flat_branch_medium_C07__ellipse.zarr,2068,S05_flat_branch_medium,ellipse.zarr,0.014410724840277138,0.22011110656129287
1,S05_flat_branch_medium_C07__rounded_rectangle.zarr,2068,S05_flat_branch_medium,rounded_rectangle.zarr,0.031964114763380874,0.1959928234950993
1,S06_3d_branch_medium_C07__c1_mixed.zarr,1676,S06_3d_branch_medium,c1_mixed.zarr,0.10088486335517215,0.2048375295002731
1,S06_3d_branch_medium_C07__ellipse.zarr,1676,S06_3d_branch_medium,ellipse.zarr,0.016883604523917708,0.20331771492710685
1,S06_3d_branch_medium_C07__rounded_rectangle.zarr,1676,S06_3d_branch_medium,rounded_rectangle.zarr,0.038198841274109566,0.17776942383600722
1,S07_flat_loop_rich_C07__c1_mixed.zarr,2678,S07_flat_loop_rich,c1_mixed.zarr,0.09139983843081592,0.1978091714802876
1,S07_flat_loop_rich_C07__ellipse.zarr,2678,S07_flat_loop_rich,ellipse.zarr,0.0163265306122449,0.18798662784427908
1,S07_flat_loop_rich_C07__rounded_rectangle.zarr,2678,S07_flat_loop_rich,rounded_rectangle.zarr,0.03775291437759614,0.16875383701603686
1,S08_3d_loop_rich_C07__c1_mixed.zarr,3458,S08_3d_loop_rich,c1_mixed.zarr,0.07075558354985172,0.2517142339638264
1,S08_3d_loop_rich_C07__ellipse.zarr,3458,S08_3d_loop_rich,ellipse.zarr,0.012451563995517029,0.24921456501593472
1,S08_3d_loop_rich_C07__rounded_rectangle.zarr,3458,S08_3d_loop_rich,rounded_rectangle.zarr,0.028154798406640272,0.22484271276263673
1,S09_flat_complex_C07__c1_mixed.zarr,3580,S09_flat_complex,c1_mixed.zarr,0.07968209733188832,0.2105481068473678
1,S09_flat_complex_C07__ellipse.zarr,3580,S09_flat_complex,ellipse.zarr,0.014326374546117335,0.20797938414770578
1,S09_flat_complex_C07__rounded_rectangle.zarr,3580,S09_flat_complex,rounded_rectangle.zarr,0.03356791686535015,0.18720630103198654
1,S10_3d_complex_C07__c1_mixed.zarr,4122,S10_3d_complex,c1_mixed.zarr,0.08025018093828654,0.22112058367783363
1,S10_3d_complex_C07__ellipse.zarr,4122,S10_3d_complex,ellipse.zarr,0.013830594598412838,0.2212054184557112
1,S10_3d_complex_C07__rounded_rectangle.zarr,4122,S10_3d_complex,rounded_rectangle.zarr,0.0329023314393212,0.2000347554088105
2,S01_flat_tree_small_C07__c1_mixed.zarr,1004,S01_flat_tree_small,c1_mixed.zarr,0.028861407556965677,0.18283674582321155
2,S01_flat_tree_small_C07__ellipse.zarr,1004,S01_flat_tree_small,ellipse.zarr,0.013093787420249331,0.16548310104016264
2,S01_flat_tree_small_C07__rounded_rectangle.zarr,1004,S01_flat_tree_small,rounded_rectangle.zarr,0.18151225155116205,0.21624195043724473
2,S02_3d_tree_small_C07__c1_mixed.zarr,922,S02_3d_tree_small,c1_mixed.zarr,0.030121829682510627,0.15351903040612375
2,S02_3d_tree_small_C07__ellipse.zarr,922,S02_3d_tree_small,ellipse.zarr,0.013978494623655914,0.15832813474734872
2,S02_3d_tree_small_C07__rounded_rectangle.zarr,922,S02_3d_tree_small,rounded_rectangle.zarr,0.16559607258872092,0.20434651373377605
2,S03_flat_unicyclic_small_C07__c1_mixed.zarr,906,S03_flat_unicyclic_small,c1_mixed.zarr,0.031309803921568624,0.13352839931153185
2,S03_flat_unicyclic_small_C07__ellipse.zarr,906,S03_flat_unicyclic_small,ellipse.zarr,0.014823468328141225,0.124628117055228
2,S03_flat_unicyclic_small_C07__rounded_rectangle.zarr,906,S03_flat_unicyclic_small,rounded_rectangle.zarr,0.14350598305528867,0.16700463190249526
2,S04_3d_unicyclic_small_C07__c1_mixed.zarr,1134,S04_3d_unicyclic_small,c1_mixed.zarr,0.027383644360509902,0.1750905890878973
2,S04_3d_unicyclic_small_C07__ellipse.zarr,1134,S04_3d_unicyclic_small,ellipse.zarr,0.014316132482138618,0.174536850583971
2,S04_3d_unicyclic_small_C07__rounded_rectangle.zarr,1134,S04_3d_unicyclic_small,rounded_rectangle.zarr,0.17355322097904907,0.21768957491118462
2,S05_flat_branch_medium_C07__c1_mixed.zarr,2068,S05_flat_branch_medium,c1_mixed.zarr,0.02476369593194258,0.1819243718650512
2,S05_flat_branch_medium_C07__ellipse.zarr,2068,S05_flat_branch_medium,ellipse.zarr,0.012005835556051442,0.16891519607071454
2,S05_flat_branch_medium_C07__rounded_rectangle.zarr,2068,S05_flat_branch_medium,rounded_rectangle.zarr,0.1626454026059435,0.2344367918240391
2,S06_3d_branch_medium_C07__c1_mixed.zarr,1676,S06_3d_branch_medium,c1_mixed.zarr,0.034450215201134914,0.1777877486485909
2,S06_3d_branch_medium_C07__ellipse.zarr,1676,S06_3d_branch_medium,ellipse.zarr,0.014429580243589896,0.16620132018527783
2,S06_3d_branch_medium_C07__rounded_rectangle.zarr,1676,S06_3d_branch_medium,rounded_rectangle.zarr,0.17322563102675315,0.21112092736861832
2,S07_flat_loop_rich_C07__c1_mixed.zarr,2678,S07_flat_loop_rich,c1_mixed.zarr,0.034765198398252636,0.15815679337274022
